profile,config,nx,nz,mode,strategy,medianSeconds,minimumSeconds,maximumSeconds,trial1,trial2,trial3,trial4,trial5
constant,3,16,65,warm,spectral,0.00316582222222222,0.00316055833333333,0.00318405416666667,0.00317203888888889,0.00316582222222222,0.00316055833333333,0.00318405416666667,0.00316508472222222
constant,3,16,65,warm,combined,0.00315784166666667,0.0031405125,0.00316530416666667,0.00315784166666667,0.00316014305555556,0.00316530416666667,0.0031405125,0.00314547916666667
constant,3,16,65,overlap,production,0.00553959861111111,0.00541509166666667,0.00571162083333333,0.00557872083333333,0.00552771527777778,0.00571162083333333,0.00553959861111111,0.00541509166666667
constant,3,16,65,overlap,baseline,0.00544416666666667,0.00528071666666667,0.00556492916666667,0.00544416666666667,0.00528071666666667,0.00556492916666667,0.00531825833333333,0.0055451875
constant,3,16,65,overlap,setup,0.00537820277777778,0.00532996944444444,0.00542090555555555,0.00537820277777778,0.00535588055555556,0.00542090555555555,0.00532996944444444,0.00540142777777778
constant,3,16,65,overlap,source,0.00531041805555556,0.0052844,0.00541291388888889,0.00541291388888889,0.00529075972222222,0.0052844,0.00531041805555556,0.00533585833333333
constant,3,16,65,overlap,spectral,0.00553383611111111,0.0053634125,0.00560041388888889,0.0053634125,0.00556497083333333,0.00536765555555556,0.00553383611111111,0.00560041388888889
constant,3,16,65,overlap,combined,0.00540120138888889,0.00529651666666667,0.00550525833333333,0.00529651666666667,0.00531494166666667,0.00540120138888889,0.005442725,0.00550525833333333
constant,3,16,65,successive,production,0.00473301944444444,0.00469158055555556,0.00478441805555556,0.00478441805555556,0.00473301944444444,0.00469158055555556,0.00475682222222222,0.0047147875
constant,3,16,65,successive,baseline,0.00465566944444444,0.00463700138888889,0.00477218888888889,0.00477218888888889,0.00463700138888889,0.00464128055555556,0.00469027777777778,0.00465566944444444
constant,3,16,65,successive,setup,0.00470238055555556,0.0046252125,0.00474102361111111,0.00473746527777778,0.00474102361111111,0.00470238055555556,0.0046252125,0.00468103055555555
constant,3,16,65,successive,source,0.00466663194444444,0.00458971111111111,0.00470819583333333,0.00462560694444444,0.00466663194444444,0.00470819583333333,0.00458971111111111,0.00467400833333333
constant,3,16,65,successive,spectral,0.00466160277777778,0.00458520277777778,0.0046947625,0.00465309861111111,0.00467495694444444,0.0046947625,0.00458520277777778,0.00466160277777778
constant,3,16,65,successive,combined,0.00458853055555556,0.00456988611111111,0.00549596805555556,0.00458853055555556,0.00549596805555556,0.00462272083333333,0.00456988611111111,0.00457892916666667
constant,4,24,129,cold,production,0.0120873347222222,0.0118898875,0.0121492625,0.0120873347222222,0.0121492625,0.01212315,0.0119095972222222,0.0118898875
constant,4,24,129,cold,baseline,0.0118055111111111,0.0116554902777778,0.0121557347222222,0.0116554902777778,0.0120587,0.0121557347222222,0.0117217222222222,0.0118055111111111
constant,4,24,129,cold,setup,0.0116955208333333,0.0116498708333333,0.0121468611111111,0.0117375041666667,0.0116715680555556,0.0121468611111111,0.0116498708333333,0.0116955208333333
constant,4,24,129,cold,source,0.0114773569444444,0.0114334541666667,0.0120120361111111,0.0114422041666667,0.0116231194444444,0.0120120361111111,0.0114773569444444,0.0114334541666667
constant,4,24,129,cold,spectral,0.0117950041666667,0.0117371611111111,0.0120626361111111,0.0117371611111111,0.0118266375,0.0120626361111111,0.0117464194444444,0.0117950041666667
constant,4,24,129,cold,combined,0.0115495319444444,0.0114027194444444,0.011623125,0.0115495319444444,0.011623125,0.0116169013888889,0.0114027194444444,0.0115115097222222
constant,4,24,129,warm,production,0.00901556666666667,0.00890678611111111,0.00937029166666667,0.00901556666666667,0.008995525,0.00937029166666667,0.00918084722222222,0.00890678611111111
constant,4,24,129,warm,baseline,0.00877440972222222,0.00872569027777778,0.00884099861111111,0.00883150833333333,0.008752425,0.00884099861111111,0.00872569027777778,0.00877440972222222
constant,4,24,129,warm,setup,0.00877480277777778,0.00864756805555556,0.00889760833333333,0.00877480277777778,0.00869480555555555,0.00879194305555555,0.00889760833333333,0.00864756805555556
constant,4,24,129,warm,source,0.00859668055555556,0.00852248472222222,0.00867828611111111,0.00856248472222222,0.00859668055555556,0.00867828611111111,0.00852248472222222,0.00860919861111111
constant,4,24,129,warm,spectral,0.00877610416666667,0.00872602916666667,0.00880089583333333,0.00878093888888889,0.00877026527777778,0.00877610416666667,0.00880089583333333,0.00872602916666667
constant,4,24,129,warm,combined,0.00861525694444444,0.00854950138888889,0.00864375694444444,0.00864083472222222,0.00864375694444444,0.00859013333333333,0.00854950138888889,0.00861525694444444
constant,4,24,129,overlap,production,0.0128333125,0.0126379458333333,0.0129295416666667,0.0129295416666667,0.0127723944444444,0.0126379458333333,0.0128403138888889,0.0128333125
constant,4,24,129,overlap,baseline,0.0126578388888889,0.0126135430555556,0.0126732138888889,0.0126732138888889,0.0126135430555556,0.0126656513888889,0.0126578388888889,0.0126348013888889
constant,4,24,129,overlap,setup,0.0126688819444444,0.0126187513888889,0.0133345902777778,0.0126688819444444,0.0126187513888889,0.0126572986111111,0.0127805263888889,0.0133345902777778
constant,4,24,129,overlap,source,0.0124422819444444,0.0123998861111111,0.0125203861111111,0.0124179111111111,0.0125203861111111,0.0123998861111111,0.0124422819444444,0.0124870597222222
