profile,config,strategy,quantity,maxError,referenceMax
exponential,2,baseline,eta,0,9.09829023434558e-06
exponential,2,state,Ag_q,0,3.89886827476063e-12
exponential,2,state,Ag_0,0,1.35977452445576e-09
exponential,2,state,Aw_p,0,1.85236963222593e-06
exponential,2,state,Aw_m,0,1.15728890222174e-06
exponential,2,state,Aio,0,1.77391477909361e-06
exponential,2,state,Amda,0,1.42633491608301e-07
exponential,2,state,u,0,3.77690438966813e-07
exponential,2,state,v,0,2.14261756316271e-07
exponential,2,state,w,0,2.6266600548249e-05
exponential,2,state,eta,0,9.09829023434558e-06
exponential,2,stateSource,Ag_q,0,3.89886827476063e-12
exponential,2,stateSource,Ag_0,0,1.35977452445576e-09
exponential,2,stateSource,Aw_p,0,1.85236963222593e-06
exponential,2,stateSource,Aw_m,0,1.15728890222174e-06
exponential,2,stateSource,Aio,0,1.77391477909361e-06
exponential,2,stateSource,Amda,0,1.42633491608301e-07
exponential,2,stateSource,u,0,3.77690438966813e-07
exponential,2,stateSource,v,0,2.14261756316271e-07
exponential,2,stateSource,w,0,2.6266600548249e-05
exponential,2,stateSource,eta,0,9.09829023434558e-06
exponential,3,baseline,Ag_q,0,3.89886827476062e-12
exponential,3,baseline,Ag_0,0,1.35977452445576e-09
exponential,3,baseline,Aw_p,0,1.85236963088761e-06
exponential,3,baseline,Aw_m,0,1.15728890167165e-06
exponential,3,baseline,Aio,0,1.77391477909361e-06
exponential,3,baseline,Amda,0,1.59354693638734e-07
exponential,3,baseline,u,0,3.77690434524703e-07
exponential,3,baseline,v,0,2.14261760522163e-07
exponential,3,baseline,w,0,2.81076258919805e-05
exponential,3,baseline,eta,0,9.09829023434556e-06
exponential,3,state,Ag_q,0,3.89886827476062e-12
exponential,3,state,Ag_0,0,1.35977452445576e-09
exponential,3,state,Aw_p,0,1.85236963088761e-06
exponential,3,state,Aw_m,0,1.15728890167165e-06
exponential,3,state,Aio,0,1.77391477909361e-06
exponential,3,state,Amda,0,1.59354693638734e-07
exponential,3,state,u,0,3.77690434524703e-07
exponential,3,state,v,0,2.14261760522163e-07
exponential,3,state,w,0,2.81076258919805e-05
exponential,3,state,eta,0,9.09829023434556e-06
exponential,3,stateSource,Ag_q,0,3.89886827476062e-12
exponential,3,stateSource,Ag_0,0,1.35977452445576e-09
exponential,3,stateSource,Aw_p,0,1.85236963088761e-06
exponential,3,stateSource,Aw_m,0,1.15728890167165e-06
exponential,3,stateSource,Aio,0,1.77391477909361e-06
exponential,3,stateSource,Amda,0,1.59354693638734e-07
exponential,3,stateSource,u,0,3.77690434524703e-07
exponential,3,stateSource,v,0,2.14261760522163e-07
exponential,3,stateSource,w,0,2.81076258919805e-05
exponential,3,stateSource,eta,0,9.09829023434556e-06
exponential,4,baseline,Ag_q,0,3.89886827476676e-12
exponential,4,baseline,Ag_0,0,1.35977452458601e-09
exponential,4,baseline,Aw_p,0,1.85236949642969e-06
exponential,4,baseline,Aw_m,0,1.15728878769832e-06
exponential,4,baseline,Aio,0,1.77391477909361e-06
exponential,4,baseline,Amda,0,1.59354693638794e-07
exponential,4,baseline,u,0,3.7769043451597e-07
exponential,4,baseline,v,0,2.15102081869165e-07
exponential,4,baseline,w,0,2.79685119021857e-05
exponential,4,baseline,eta,0,9.10185524939322e-06
exponential,4,state,Ag_q,0,3.89886827476676e-12
exponential,4,state,Ag_0,0,1.35977452458601e-09
exponential,4,state,Aw_p,0,1.85236949642969e-06
exponential,4,state,Aw_m,0,1.15728878769832e-06
exponential,4,state,Aio,0,1.77391477909361e-06
exponential,4,state,Amda,0,1.59354693638794e-07
exponential,4,state,u,0,3.7769043451597e-07
exponential,4,state,v,0,2.15102081869165e-07
exponential,4,state,w,0,2.79685119021857e-05
exponential,4,state,eta,0,9.10185524939322e-06
exponential,4,stateSource,Ag_q,0,3.89886827476676e-12
exponential,4,stateSource,Ag_0,0,1.35977452458601e-09
exponential,4,stateSource,Aw_p,0,1.85236949642969e-06
exponential,4,stateSource,Aw_m,0,1.15728878769832e-06
exponential,4,stateSource,Aio,0,1.77391477909361e-06
exponential,4,stateSource,Amda,0,1.59354693638794e-07
exponential,4,stateSource,u,0,3.7769043451597e-07
exponential,4,stateSource,v,0,2.15102081869165e-07
exponential,4,stateSource,w,0,2.79685119021857e-05
exponential,4,stateSource,eta,0,9.10185524939322e-06
