profile,config,nx,nz,mode,strategy,medianSeconds,minimumSeconds,maximumSeconds,trial1,trial2,trial3,trial4,trial5,trial6,trial7
exponential,1,8,33,overlap,production,0.00136697333333333,0.00125261916666667,0.00142683083333333,0.00142683083333333,0.00130328583333333,0.0014174325,0.00136697333333333,0.001288095,0.00138510916666667,0.00125261916666667
exponential,1,8,33,successive,reference,0.00156258833333333,0.00147007416666667,0.00171299666666667,0.00152253416666667,0.00171299666666667,0.00165760833333333,0.00163661333333333,0.00156258833333333,0.00153091583333333,0.00147007416666667
exponential,1,8,33,successive,production,0.00119327916666667,0.00112395583333333,0.00124815083333333,0.00119327916666667,0.00124815083333333,0.00122701166666667,0.00120688166666667,0.00115940083333333,0.00112884583333333,0.00112395583333333
exponential,2,8,65,cold,reference,0.00226566416666667,0.00210809666666667,0.00235688166666667,0.0023289025,0.00235688166666667,0.00229509666666667,0.00219534083333333,0.00226566416666667,0.0022223775,0.00210809666666667
exponential,2,8,65,cold,production,0.00186681916666667,0.00178379916666667,0.00217815,0.00217815,0.00190418333333333,0.00182169333333333,0.00181943083333333,0.00194808916666667,0.00186681916666667,0.00178379916666667
exponential,2,8,65,warm,reference,0.001448385,0.00142108416666667,0.0014555325,0.001448385,0.00145445916666667,0.00142108416666667,0.00143980333333333,0.0014534025,0.0014555325,0.001438395
exponential,2,8,65,warm,production,0.0014308925,0.00138916166666667,0.00145911,0.00142597166666667,0.0014308925,0.00145911,0.00143797,0.00144387666666667,0.00138916166666667,0.00142442166666667
exponential,2,8,65,overlap,reference,0.00266974833333333,0.00259491833333333,0.0028503275,0.00266974833333333,0.00265676583333333,0.0026763175,0.0028503275,0.00259491833333333,0.00261070083333333,0.002711545
exponential,2,8,65,overlap,production,0.0018778675,0.0018530375,0.00200520916666667,0.00200520916666667,0.00186604416666667,0.00191059,0.0018530375,0.0018778675,0.00187708666666667,0.00194640166666667
exponential,2,8,65,successive,reference,0.00217421583333333,0.00211712916666667,0.00231496083333333,0.00226136333333333,0.00217421583333333,0.00211712916666667,0.00216316916666667,0.00226951833333333,0.00231496083333333,0.002170225
exponential,2,8,65,successive,production,0.00178142083333333,0.00174944666666667,0.002326345,0.00181497833333333,0.00175497416666667,0.00178142083333333,0.002326345,0.00179182666666667,0.00174944666666667,0.0017751075
exponential,3,16,65,cold,reference,0.00510998,0.00502235833333333,0.00521699666666667,0.00506480833333333,0.00502235833333333,0.00510998,0.00521699666666667,0.00516814416666667,0.00511251666666667,0.00506020416666667
exponential,3,16,65,cold,production,0.00455065583333333,0.00448865416666667,0.00464578166666667,0.004541615,0.0045099475,0.00455065583333333,0.004636765,0.0045910475,0.00448865416666667,0.00464578166666667
exponential,3,16,65,warm,reference,0.00352516166666667,0.00343697666666667,0.00362348916666667,0.00356489,0.00356634416666667,0.00362348916666667,0.00349766666666667,0.00343697666666667,0.00352516166666667,0.00351470583333333
exponential,3,16,65,warm,production,0.003496735,0.00344917583333333,0.00357448,0.0035223025,0.00348733916666667,0.00357448,0.003496735,0.00344917583333333,0.00347586833333333,0.00351779166666667
exponential,3,16,65,overlap,reference,0.00548872166666667,0.00538819333333333,0.00563570833333333,0.00563570833333333,0.005588935,0.0055950275,0.00548810333333333,0.005476415,0.00548872166666667,0.00538819333333333
exponential,3,16,65,overlap,production,0.00462470416666667,0.004549695,0.00515494416666667,0.00472524,0.00472929916666667,0.00515494416666667,0.00458827916666667,0.00462470416666667,0.004549695,0.00456573666666667
exponential,3,16,65,successive,reference,0.00491650333333333,0.00481710583333333,0.00500459916666667,0.00481710583333333,0.0048807875,0.0048663175,0.00491650333333333,0.00493306083333333,0.00500459916666667,0.00498247833333333
exponential,3,16,65,successive,production,0.00447373083333333,0.00439193416666667,0.004550765,0.0044178175,0.00445581833333333,0.004550765,0.00439193416666667,0.00451857833333333,0.00447373083333333,0.004485685
exponential,4,24,129,cold,reference,0.0142765483333333,0.014238725,0.0144062691666667,0.0142510316666667,0.014238725,0.0144062691666667,0.01433934,0.0142463975,0.0142765483333333,0.0143872483333333
exponential,4,24,129,cold,production,0.0137821191666667,0.0135850616666667,0.0139992358333333,0.0138475375,0.01384628,0.0139992358333333,0.0136583908333333,0.0135850616666667,0.0136725616666667,0.0137821191666667
exponential,4,24,129,warm,reference,0.0114935058333333,0.0113229908333333,0.0115832858333333,0.0115832858333333,0.0114298766666667,0.0113229908333333,0.0114937141666667,0.0114935058333333,0.0114457575,0.0115243108333333
exponential,4,24,129,warm,production,0.0113618216666667,0.0112165741666667,0.0115746141666667,0.011397365,0.0113523266666667,0.01126918,0.0112165741666667,0.0113618216666667,0.0114971408333333,0.0115746141666667
exponential,4,24,129,overlap,reference,0.0153481975,0.014974955,0.0160402758333333,0.015667655,0.0153481975,0.0151885441666667,0.0157576391666667,0.0153458908333333,0.0160402758333333,0.014974955
exponential,4,24,129,overlap,production,0.0142973441666667,0.0140393,0.0155298966666667,0.0142973441666667,0.0143642958333333,0.0143883783333333,0.0155298966666667,0.0141782041666667,0.0141973533333333,0.0140393
exponential,4,24,129,successive,reference,0.0142422941666667,0.0141267008333333,0.0146524433333333,0.0141267008333333,0.0143231683333333,0.0142422941666667,0.0141727691666667,0.0142249175,0.0145945433333333,0.0146524433333333
exponential,4,24,129,successive,production,0.013691595,0.0135534816666667,0.0139934108333333,0.0139934108333333,0.013691595,0.013592095,0.0135549075,0.0135534816666667,0.0139416508333333,0.0138790583333333
