profile,config,strategy,quantity,maxError,referenceMax
exponential,1,setup,Ag_q,0,3.89886827476079e-12
exponential,1,setup,Ag_0,0,1.35977452447616e-09
exponential,1,setup,Aw_p,0,1.85236885042999e-06
exponential,1,setup,Aw_m,0,1.15728823573304e-06
exponential,1,setup,Aio,0,1.7739147790936e-06
exponential,1,setup,Amda,0,1.42633491608327e-07
exponential,1,setup,u,0,3.77690438969422e-07
exponential,1,setup,v,0,2.142617563168e-07
exponential,1,setup,w,0,2.62666005482245e-05
exponential,1,setup,eta,0,9.09227269597949e-06
exponential,1,source,Ag_q,0,3.89886827476079e-12
exponential,1,source,Ag_0,0,1.35977452447616e-09
exponential,1,source,Aw_p,0,1.85236885042999e-06
exponential,1,source,Aw_m,0,1.15728823573304e-06
exponential,1,source,Aio,0,1.7739147790936e-06
exponential,1,source,Amda,0,1.42633491608327e-07
exponential,1,source,u,0,3.77690438969422e-07
exponential,1,source,v,0,2.142617563168e-07
exponential,1,source,w,0,2.62666005482245e-05
exponential,1,source,eta,0,9.09227269597949e-06
exponential,1,spectral,Ag_q,2.01948391736579e-28,3.89886827476079e-12
exponential,1,spectral,Ag_0,1.06579782406852e-25,1.35977452447616e-09
exponential,1,spectral,Aw_p,4.30896793354323e-22,1.85236885042999e-06
exponential,1,spectral,Aw_m,2.36752906155326e-22,1.15728823573304e-06
exponential,1,spectral,Aio,1.7205356741103e-22,1.7739147790936e-06
exponential,1,spectral,Amda,0,1.42633491608327e-07
exponential,1,spectral,u,3.70576914423756e-21,3.77690438969422e-07
exponential,1,spectral,v,2.99108509499175e-21,2.142617563168e-07
exponential,1,spectral,w,1.68721683903666e-19,2.62666005482245e-05
exponential,1,spectral,eta,0,9.09227269597949e-06
exponential,1,combined,Ag_q,2.01948391736579e-28,3.89886827476079e-12
exponential,1,combined,Ag_0,1.06579782406852e-25,1.35977452447616e-09
exponential,1,combined,Aw_p,4.30896793354323e-22,1.85236885042999e-06
exponential,1,combined,Aw_m,2.36752906155326e-22,1.15728823573304e-06
exponential,1,combined,Aio,1.7205356741103e-22,1.7739147790936e-06
exponential,1,combined,Amda,0,1.42633491608327e-07
exponential,1,combined,u,3.70576914423756e-21,3.77690438969422e-07
exponential,1,combined,v,2.99108509499175e-21,2.142617563168e-07
exponential,1,combined,w,1.68721683903666e-19,2.62666005482245e-05
exponential,1,combined,eta,0,9.09227269597949e-06
exponential,2,baseline,Ag_q,0,3.89886827476063e-12
exponential,2,baseline,Ag_0,0,1.35977452445576e-09
exponential,2,baseline,Aw_p,0,1.85236963222593e-06
exponential,2,baseline,Aw_m,0,1.15728890222174e-06
exponential,2,baseline,Aio,0,1.77391477909361e-06
exponential,2,baseline,Amda,0,1.42633491608301e-07
exponential,2,baseline,u,0,3.77690438966813e-07
exponential,2,baseline,v,0,2.14261756316271e-07
exponential,2,baseline,w,0,2.6266600548249e-05
exponential,2,baseline,eta,0,9.09829023434558e-06
exponential,2,setup,Ag_q,0,3.89886827476063e-12
