profile,Nz,Lxy,family,kappa,policy,retainedFraction,energyFraction,bandwidthFraction,linearCount,retainedCount,apvCount,sampleCount,maximumAliasError,p95AliasError,maximumReferenceError,maximumFullReferenceError,scoreSeconds,linearConstructionSeconds,fineCount,referenceCount,coarseAgreement
sharp,65,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,38,27,27,333,0.047091335542286,0.00978817167163065,7.7447696040603e-15,2.5954843958706e-14,0.00148208333333333,5.2819345,415,829,0
sharp,65,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.95,0.75,38,31,31,417,0.535582182240613,0.236354277011774,7.7447696040603e-15,2.92738873701528e-14,0.001270625,5.2819345,415,829,0
sharp,65,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.99,0.5,38,20,20,186,0.000617797075961861,0.000255711111053012,4.40472547088951e-15,1.95047624786759e-14,0.00129633333333333,5.2819345,415,829,0
sharp,65,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,38,26,26,312,0.0172043579811623,0.00497232968011775,5.46175198949203e-15,2.36339503470511e-14,0.00120625,5.2819345,415,829,0
sharp,65,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.99,0.75,38,30,30,396,0.488937315200557,0.124638657329684,7.7447696040603e-15,2.79411254661923e-14,0.00117458333333333,5.2819345,415,829,0
sharp,65,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.999,0.5,38,18,18,159,0.000245946117730325,0.000105025303535452,4.40472547088951e-15,1.70856012992091e-14,0.00123154166666667,5.2819345,415,829,0
sharp,65,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,38,24,24,270,0.00497232968011775,0.00141754171329429,5.46175198949203e-15,2.13174205424599e-14,0.00136479166666667,5.2819345,415,829,0
sharp,65,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.999,0.75,38,28,28,354,0.137328094407271,0.0255347142057185,7.7447696040603e-15,2.5954843958706e-14,0.001332625,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,none,0.666666666666667,0.99,0.666666666666667,38,38,38,564,0.70106168275093,0.472909387845064,9.46417877825978e-15,1.57111174264804e-13,0.000159958333333333,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,fixedFraction,0.5,0.99,0.666666666666667,38,19,19,168,0.00037822308185846,0.000137069398389228,4.407718850803e-15,1.78280699923179e-14,0.000139,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,fixedFraction,0.666666666666667,0.99,0.666666666666667,38,25,25,291,0.00796968651519634,0.00227789599007026,5.44589383856072e-15,2.26318888400619e-14,0.00010525,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,fixedFraction,0.75,0.99,0.666666666666667,38,28,28,354,0.137329944041643,0.0255355307130084,7.74281553758247e-15,2.59659431065266e-14,0.000132708333333333,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.95,0.5,38,21,21,207,0.00106028107365612,0.0006163234212391,5.0182328741251e-15,1.99023628374778e-14,0.00126995833333333,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,38,27,27,333,0.0470918263027471,0.00978859784936512,7.74281553758247e-15,2.59659431065266e-14,0.00127245833333333,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.95,0.75,38,31,31,417,0.535582243175662,0.236355351874135,7.74281553758247e-15,2.92617577270143e-14,0.00128675,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.99,0.5,38,20,20,186,0.00061778227509879,0.000255715031579024,4.407718850803e-15,1.94645416304983e-14,0.00122058333333333,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,38,26,26,312,0.0172047767272854,0.00497220293093847,5.44589383856072e-15,2.36067447246692e-14,0.00122708333333333,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.99,0.75,38,30,30,396,0.488938004337672,0.124637139676997,7.74281553758247e-15,2.79182888084369e-14,0.00119966666666667,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.999,0.5,38,18,18,159,0.000245931713302637,0.000105021091704433,4.407718850803e-15,1.70475473896161e-14,0.001216,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,38,24,24,270,0.00497220293093847,0.00141754588322099,5.44589383856072e-15,2.12459941935998e-14,0.00128379166666667,5.2819345,415,829,0
sharp,65,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.999,0.75,38,28,28,354,0.137329944041643,0.0255355307130084,7.74281553758247e-15,2.59659431065266e-14,0.00119454166666667,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,none,0.666666666666667,0.99,0.666666666666667,38,38,38,564,0.701061923786498,0.472909620224793,9.45798815946142e-15,1.57070556220793e-13,0.000190541666666667,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,fixedFraction,0.5,0.99,0.666666666666667,38,19,19,168,0.000378211136309572,0.000137074021563486,4.39909625127182e-15,1.7793248958813e-14,0.000228916666666667,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,fixedFraction,0.666666666666667,0.99,0.666666666666667,38,25,25,291,0.00796936668518581,0.00227777450398537,5.50501985948587e-15,2.26152833061281e-14,9.2625e-05,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,fixedFraction,0.75,0.99,0.666666666666667,38,28,28,354,0.137332905425651,0.0255368367870921,7.7335329843594e-15,2.59416510227539e-14,8.12083333333333e-05,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.95,0.5,38,21,21,207,0.00106027289396246,0.000616310572109395,5.04227886932071e-15,1.99324130450305e-14,0.001200625,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,38,27,27,333,0.0470926114274483,0.00978927998117865,7.7335329843594e-15,2.59416510227539e-14,0.00119908333333333,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.95,0.75,38,31,31,417,0.535582339765393,0.236357071648723,7.7335329843594e-15,2.92559732321944e-14,0.00117975,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.99,0.5,38,20,20,186,0.000617758592126315,0.000255723166434049,4.39909625127182e-15,1.94435494510265e-14,0.00119866666666667,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,38,26,26,312,0.0172054468421801,0.00497200013694322,5.50501985948587e-15,2.35867880393048e-14,0.00115595833333333,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.99,0.75,38,30,30,396,0.488939107460769,0.124634712320447,7.7335329843594e-15,2.78851838132144e-14,0.00117170833333333,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.999,0.5,38,18,18,159,0.000245908668874429,0.000105014351175339,4.39909625127182e-15,1.70814354411448e-14,0.00116325,5.2819345,415,829,0
sharp,65,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,38,24,24,270,0.00497200013694322,0.0014175525601396,5.50501985948587e-15,2.12864456324481e-14,0.00117766666666667,5.2819345,415,829,0
