profile,Nz,Lxy,family,kappa,i,j,channel,mixed,aliasError,referenceError,fullReferenceError
sharp,65,100000,apv,0,28,28,FF,0,0.120247317837069,3.61506947739563e-15,1.56011849722182e-14
sharp,65,100000,apv,0,28,29,FF,0,0.173496108777328,4.02478996001586e-15,1.7382356142127e-14
sharp,65,100000,apv,0,29,10,FF,0,0.000194111791094846,2.68714374976555e-15,1.11670575148589e-14
sharp,65,100000,apv,0,29,29,FF,0,0.23621234153786,3.56196553431161e-15,1.42061892352803e-14
sharp,65,100000,apv,0,29,30,FF,0,0.30980987225341,5.085011248769e-15,1.75131803781657e-14
sharp,65,100000,apv,0,30,9,FF,0,0.000187074325244026,3.44613210979163e-15,1.48033974302538e-14
sharp,65,100000,apv,0,30,30,FF,0,0.325475257964107,4.18933279937994e-15,1.64364184558021e-14
sharp,65,100000,apv,0,30,31,FF,0,0.414384052420839,4.27870731568561e-15,1.8345075843516e-14
sharp,65,100000,apv,0,31,8,FF,0,0.000186683244166039,3.79722163752179e-15,1.41757552467652e-14
sharp,65,100000,apv,0,31,31,FF,0,0.349042083541589,3.41389459685056e-15,1.43221345865114e-14
sharp,65,100000,apv,0,31,32,FF,0,0.436384696311688,6.15354579174675e-15,2.09972106371476e-14
sharp,65,100000,apv,0,32,7,FF,0,0.000176412805740735,2.92587988112174e-15,1.28909855604374e-14
sharp,65,100000,apv,0,32,32,FF,0,0.394029974253158,4.57212119958844e-15,1.73368974357906e-14
sharp,65,100000,apv,0,32,33,FF,0,0.483848625627885,3.45953630063443e-15,1.75129701974779e-14
sharp,65,100000,apv,0,33,6,FF,0,0.000174268410847211,2.56992670556254e-15,1.39142837008046e-14
sharp,65,100000,apv,0,33,33,FF,0,0.406860328842438,4.01898210470511e-15,1.68765944876804e-14
sharp,65,100000,apv,0,33,34,FF,0,0.497736428043209,6.50320495630811e-15,2.11830995582934e-14
sharp,65,100000,apv,0,34,5,FF,0,0.000168678437713128,3.7109788749708e-15,1.5258606455655e-14
sharp,65,100000,apv,0,34,34,FF,0,0.434363230147855,4.97563515367322e-15,1.78879614989348e-14
sharp,65,100000,apv,0,34,35,FF,0,0.529825896221538,3.776168792358e-15,2.15010417150116e-14
sharp,65,100000,apv,0,35,4,FF,0,0.000142998235168525,4.62079584241735e-15,1.71686906116962e-14
sharp,65,100000,apv,0,35,35,FF,0,0.44050823523154,3.6804271536597e-15,1.64597177336308e-14
sharp,65,100000,apv,0,35,36,FF,0,0.536358380035552,6.80240889680456e-15,2.0548198217849e-14
sharp,65,100000,apv,0,36,3,FF,0,0.000214863017386501,3.62972568598257e-15,1.30879701439703e-14
sharp,65,100000,apv,0,36,36,FF,0,0.45902536606797,5.06212792184559e-15,2.03156158457684e-14
sharp,65,100000,apv,0,36,37,FF,0,0.55696020859156,4.39449286365888e-15,2.28669513844161e-14
sharp,65,100000,apv,0,37,2,FF,0,0.000172306198296905,2.90094280200426e-15,1.25897058368578e-14
sharp,65,100000,apv,0,37,37,FF,0,0.467687881808631,4.59083583573236e-15,1.7710225309839e-14
sharp,65,100000,apv,0,37,38,FF,0,0.568047791521804,7.16502811861628e-15,2.53115388450552e-14
sharp,65,100000,apv,0,38,1,FF,0,0.000166608491992685,3.65856502497095e-15,1.53364678963794e-14
sharp,65,100000,apv,0,38,38,FF,0,0.472875096204641,5.8856591354977e-15,2.3219871777832e-14
sharp,65,100000,apv,0,1,1,FG,0,2.70404519877183e-09,2.81312341634026e-16,1.11350431931937e-15
sharp,65,100000,apv,0,1,2,FG,0,9.11039368618919e-09,3.35089422698608e-16,1.3323158003581e-15
sharp,65,100000,apv,0,1,38,FG,0,0.000322010738683359,3.53553040113705e-15,1.75301995448098e-14
sharp,65,100000,apv,0,2,2,FG,0,1.46648893646266e-08,4.56790987571531e-16,1.80648615269883e-15
sharp,65,100000,apv,0,2,3,FG,0,3.91791047439097e-08,3.32654631549763e-16,1.42049430753926e-15
sharp,65,100000,apv,0,2,37,FG,0,0.000281824774252993,4.90668924121885e-15,1.97215358315327e-14
sharp,65,100000,apv,0,3,3,FG,0,1.04702020605549e-07,3.59178719473486e-16,1.87239724607696e-15
sharp,65,100000,apv,0,3,4,FG,0,8.33981918923356e-08,6.90909791197329e-16,2.86880253501727e-15
sharp,65,100000,apv,0,3,36,FG,0,0.000324040923359312,5.51672657274901e-15,1.96839542933353e-14
sharp,65,100000,apv,0,4,4,FG,0,7.32044339616448e-08,8.13533038714223e-16,3.61457838612958e-15
sharp,65,100000,apv,0,4,5,FG,0,7.20254096907197e-08,7.02583908127825e-16,3.13078613950647e-15
sharp,65,100000,apv,0,4,35,FG,0,0.000208233729625564,3.28268124248336e-15,1.80072713307331e-14
sharp,65,100000,apv,0,5,5,FG,0,1.74154793385377e-07,8.56468586952029e-16,4.02733598663569e-15
sharp,65,100000,apv,0,5,6,FG,0,1.64338460689723e-07,8.54318644399561e-16,3.96020246722435e-15
sharp,65,100000,apv,0,5,34,FG,0,0.000175045073041493,3.66156660037467e-15,1.83002313204132e-14
sharp,65,100000,apv,0,6,6,FG,0,2.90070282968555e-07,1.05715950848116e-15,5.15628388065929e-15
sharp,65,100000,apv,0,6,7,FG,0,1.94904602245256e-07,9.53260482116255e-16,4.60163241234707e-15
sharp,65,100000,apv,0,6,33,FG,0,0.000192409685901879,4.50012336465257e-15,1.58766861217246e-14
sharp,65,100000,apv,0,7,7,FG,0,2.26571628264888e-07,1.24273005584684e-15,6.2115096440214e-15
sharp,65,100000,apv,0,7,8,FG,0,3.10713080146829e-07,9.86808126313751e-16,4.86280190066982e-15
sharp,65,100000,apv,0,7,32,FG,0,0.000115696878522811,3.46483834484845e-15,1.62926626345265e-14
sharp,65,100000,apv,0,8,8,FG,0,6.73518707985998e-07,1.23710691154279e-15,6.17942484324077e-15
sharp,65,100000,apv,0,8,9,FG,0,5.55893330492793e-07,1.44508256740475e-15,6.16965102758506e-15
sharp,65,100000,apv,0,8,31,FG,0,0.000151194002763351,3.22180636609431e-15,1.53173101334545e-14
sharp,65,100000,apv,0,9,9,FG,0,4.06777681544403e-07,1.85624785211564e-15,7.78502728553612e-15
sharp,65,100000,apv,0,9,10,FG,0,7.38981415878393e-07,1.63266173070575e-15,6.61182338358108e-15
sharp,65,100000,apv,0,9,30,FG,0,0.000103343618215144,3.67877669889693e-15,1.4943308845286e-14
sharp,65,100000,apv,0,10,10,FG,0,1.2214936394872e-06,1.87542324326338e-15,8.40610675764751e-15
sharp,65,100000,apv,0,10,11,FG,0,1.2429725850937e-06,1.56078074712204e-15,7.17203082351323e-15
sharp,65,100000,apv,0,10,29,FG,0,0.000111745612666355,2.76461916507991e-15,1.42350818877175e-14
sharp,65,100000,apv,0,11,11,FG,0,1.36827789073535e-06,2.32201073945451e-15,9.8016641575281e-15
sharp,65,100000,apv,0,11,12,FG,0,1.5509965982701e-06,1.83801171812357e-15,8.85904460166172e-15
sharp,65,100000,apv,0,11,28,FG,0,9.26825774477515e-05,3.28269429613745e-15,1.4719665927678e-14
sharp,65,100000,apv,0,12,12,FG,0,2.38581550689549e-06,2.44539223657407e-15,1.15654133916854e-14
