triple,inputA,inputB,output,channel,error,modeA,modeB,referenceStability,eigenConvergence,gramError,productCount
4,apv,wave,apv,F*F->F,0.000283975278845162,3,8,1.84017545833832e-15,1.66950581942882e-11,2.12126980544059e-07,32
4,apv,wave,apv,G*G->F,0.000284278343921704,3,8,1.47038251387397e-15,1.66950581942882e-11,2.12126980544059e-07,32
4,wave,boundary,wave,F*G->G,0.000186827893268453,1,2,2.74622581296316e-16,5.73681637978046e-11,0.000781378275008409,16
4,wave,boundary,wave,G*dG->G,0.0012826329888986,8,2,4.18923329574859e-15,5.73681637978046e-11,0.000781378275008409,16
4,wave,boundary,apv,G*dF->F,0.0011162253998408,2,1,2.63342682576221e-15,5.73681637978046e-11,2.12126980544059e-07,16
4,wave,boundary,apv,F*F->F,0.000146764726217933,1,1,1.77635683940025e-15,5.73681637978046e-11,2.12126980544059e-07,16
4,wave,boundary,apv,G*G->F,0.001116225399841,2,1,2.6462351625356e-15,5.73681637978046e-11,2.12126980544059e-07,16
4,boundary,wave,wave,F*G->G,0.00191037456768556,2,1,2.36683973453016e-14,4.31900125512261e-10,0.000781378275008409,16
4,boundary,wave,wave,G*dG->G,0.0027119677020515,2,8,3.11294581220044e-16,4.31900125512261e-10,0.000781378275008409,16
4,boundary,wave,apv,G*dF->F,0.0316263819907223,1,2,1.33475990708426e-14,4.31900125512261e-10,2.12126980544059e-07,16
4,boundary,wave,apv,F*F->F,0.00645350376760668,1,1,3.77475828372553e-15,4.31900125512261e-10,2.12126980544059e-07,16
4,boundary,wave,apv,G*G->F,0.0316263819907222,1,2,1.29517321089304e-14,4.31900125512261e-10,2.12126980544059e-07,16
4,apv,boundary,wave,F*G->G,0.000172234085718197,-1,2,2.97288833568682e-16,5.73681637978046e-11,0.000781378275008409,8
4,apv,boundary,wave,G*dG->G,0.00180831534090739,3,2,1.11022302462516e-15,5.73681637978046e-11,0.000781378275008409,8
4,apv,boundary,apv,G*dF->F,0.00107340585149293,3,2,1.55431223447522e-15,5.73681637978046e-11,2.12126980544059e-07,8
4,apv,boundary,apv,F*F->F,0.000143145267186477,-1,1,1.77635683940025e-15,5.73681637978046e-11,2.12126980544059e-07,8
4,apv,boundary,apv,G*G->F,0.00107340585149297,3,2,1.55431223447522e-15,5.73681637978046e-11,2.12126980544059e-07,8
5,wave,wave,wave,F*G->G,0.389208090615428,8,8,2.04590579424005e-15,1.34767072184033e-11,0.000781378420852016,64
5,wave,wave,wave,G*dG->G,0.38920820997968,8,8,1.90755763348473e-15,1.34767072184033e-11,0.000781378420852016,64
5,wave,wave,apv,G*dF->F,0.00858234249575678,8,7,1.77898130581206e-15,1.66950581942882e-11,2.12126980544059e-07,64
5,wave,wave,apv,F*F->F,0.00858191625053689,8,7,1.67707634366945e-15,1.66950581942882e-11,2.12126980544059e-07,64
5,wave,wave,apv,G*G->F,0.00858234249575696,8,7,1.63863403946227e-15,1.66950581942882e-11,2.12126980544059e-07,64
5,wave,apv,wave,F*G->G,0.00398389752314225,8,3,5.68599473462665e-16,1.66950581942882e-11,0.000781378420852016,32
5,wave,apv,wave,G*dG->G,0.00915452308776427,8,3,1.75223690563359e-15,1.66950581942882e-11,0.000781378420852016,32
5,wave,apv,apv,G*dF->F,0.000284278309846169,8,3,1.7388781668074e-15,1.66950581942882e-11,2.12126980544059e-07,32
5,wave,apv,apv,F*F->F,0.000283975264209622,8,3,1.76080546052675e-15,1.66950581942882e-11,2.12126980544059e-07,32
5,wave,apv,apv,G*G->F,0.00028427830984631,8,3,2.0477513517588e-15,1.66950581942882e-11,2.12126980544059e-07,32
5,apv,wave,wave,F*G->G,0.00915452142469153,3,8,1.69930979193231e-15,1.66950581942882e-11,0.000781378420852016,32
5,apv,wave,wave,G*dG->G,0.00398389738745708,3,8,5.17915757351485e-16,1.66950581942882e-11,0.000781378420852016,32
5,apv,wave,apv,G*dF->F,0.000284278335381355,3,8,1.73842211706483e-15,1.66950581942882e-11,2.12126980544059e-07,32
5,apv,wave,apv,F*F->F,0.000283975275178218,3,8,1.56202631486951e-15,1.66950581942882e-11,2.12126980544059e-07,32
5,apv,wave,apv,G*G->F,0.000284278335381534,3,8,1.22660347776475e-15,1.66950581942882e-11,2.12126980544059e-07,32
5,wave,boundary,wave,F*G->G,0.000823393458556438,1,2,2.70886987635785e-16,1.59122271709527e-11,0.000781378420852016,16
5,wave,boundary,wave,G*dG->G,0.00402308571786803,8,2,9.83566944445133e-15,1.59122271709527e-11,0.000781378420852016,16
5,wave,boundary,apv,G*dF->F,0.00640661179401874,2,1,5.12344451107186e-15,1.66950581942882e-11,2.12126980544059e-07,16
5,wave,boundary,apv,F*F->F,0.000972937260997113,1,1,2.44249065417534e-15,1.66950581942882e-11,2.12126980544059e-07,16
5,wave,boundary,apv,G*G->F,0.00640661179401877,2,1,6.22295526078928e-15,1.66950581942882e-11,2.12126980544059e-07,16
5,boundary,wave,wave,F*G->G,0.00191037554690089,2,1,2.4097213638176e-14,4.31900125512261e-10,0.000781378420852016,16
5,boundary,wave,wave,G*dG->G,0.00271196774501944,2,8,4.44089209850063e-16,4.31900125512261e-10,0.000781378420852016,16
5,boundary,wave,apv,G*dF->F,0.0314191228329025,1,2,1.36146680332352e-14,4.31900125512261e-10,2.12126980544059e-07,16
5,boundary,wave,apv,F*F->F,0.0064975068924996,1,1,3.77475828372553e-15,4.31900125512261e-10,2.12126980544059e-07,16
5,boundary,wave,apv,G*G->F,0.0314191228329023,1,2,1.35561743748125e-14,4.31900125512261e-10,2.12126980544059e-07,16
5,apv,boundary,wave,F*G->G,0.000790334092671682,-1,2,3.72643374853052e-16,1.66950581942882e-11,0.000781378420852016,8
5,apv,boundary,wave,G*dG->G,0.00479678604684334,3,2,1.51898545438869e-15,1.66950581942882e-11,0.000781378420852016,8
5,apv,boundary,apv,G*dF->F,0.00563338975007335,3,2,2.22044604925031e-15,1.66950581942882e-11,2.12126980544059e-07,8
5,apv,boundary,apv,F*F->F,0.000959249928611195,-1,1,2.44249065417534e-15,1.66950581942882e-11,2.12126980544059e-07,8
5,apv,boundary,apv,G*G->F,0.00563338975007337,3,2,2.44249065417534e-15,1.66950581942882e-11,2.12126980544059e-07,8
6,wave,wave,wave,F*G->G,0.389208130351309,8,8,1.74100663098483e-15,1.34767072184033e-11,0.000781378275008409,64
6,wave,wave,wave,G*dG->G,0.389208130351309,8,8,2.56655281679483e-15,1.34767072184033e-11,0.000781378275008409,64
6,wave,wave,apv,G*dF->F,0.00858233397586239,8,7,1.45572211641685e-15,1.66950581942882e-11,2.12126980544059e-07,64
6,wave,wave,apv,F*F->F,0.00858190854524708,8,7,1.35751328301174e-15,1.66950581942882e-11,2.12126980544059e-07,64
6,wave,wave,apv,G*G->F,0.00858233397586253,8,7,1.41924370411217e-15,1.66950581942882e-11,2.12126980544059e-07,64
6,wave,apv,wave,F*G->G,0.00398389618076893,8,3,5.81016154045034e-16,1.66950581942882e-11,0.000781378275008409,32
6,wave,apv,wave,G*dG->G,0.00915452277649435,8,3,1.65627921506313e-15,1.66950581942882e-11,0.000781378275008409,32
6,wave,apv,apv,G*dF->F,0.000284278309846169,8,3,1.7388781668074e-15,1.66950581942882e-11,2.12126980544059e-07,32
6,wave,apv,apv,F*F->F,0.000283975264209622,8,3,1.76080546052675e-15,1.66950581942882e-11,2.12126980544059e-07,32
6,wave,apv,apv,G*G->F,0.00028427830984631,8,3,2.0477513517588e-15,1.66950581942882e-11,2.12126980544059e-07,32
6,apv,wave,wave,F*G->G,0.00915452277649437,3,8,1.39178311699131e-15,1.66950581942882e-11,0.000781378275008409,32
6,apv,wave,wave,G*dG->G,0.00398389618076893,3,8,6.63741857110226e-16,1.66950581942882e-11,0.000781378275008409,32
6,apv,wave,apv,G*dF->F,0.000284278309846197,3,8,1.78821091331879e-15,1.66950581942882e-11,2.12126980544059e-07,32
6,apv,wave,apv,F*F->F,0.000283975264209622,3,8,1.76080546052675e-15,1.66950581942882e-11,2.12126980544059e-07,32
6,apv,wave,apv,G*G->F,0.00028427830984631,3,8,2.0477513517588e-15,1.66950581942882e-11,2.12126980544059e-07,32
6,wave,boundary,wave,F*G->G,0.00271196766830542,8,2,4.00235227640475e-16,4.31900125512261e-10,0.000781378275008409,16
6,wave,boundary,wave,G*dG->G,0.00191037821490356,1,2,2.5754151976399e-14,4.31900125512261e-10,0.000781378275008409,16
6,wave,boundary,apv,G*dF->F,0.0308828571726689,2,1,1.46865595755759e-14,4.31900125512261e-10,2.12126980544059e-07,16
6,wave,boundary,apv,F*F->F,0.00659370398692112,1,1,3.77475828372553e-15,4.31900125512261e-10,2.12126980544059e-07,16
6,wave,boundary,apv,G*G->F,0.0308828571726689,2,1,1.51359460086814e-14,4.31900125512261e-10,2.12126980544059e-07,16
6,boundary,wave,wave,F*G->G,0.00191037821490356,2,1,2.57239658415338e-14,4.31900125512261e-10,0.000781378275008409,16
6,boundary,wave,wave,G*dG->G,0.00271196766830541,2,8,3.86883026791393e-16,4.31900125512261e-10,0.000781378275008409,16
6,boundary,wave,apv,G*dF->F,0.030882857172669,1,2,1.56175745740244e-14,4.31900125512261e-10,2.12126980544059e-07,16
6,boundary,wave,apv,F*F->F,0.00659370398692112,1,1,3.77475828372553e-15,4.31900125512261e-10,2.12126980544059e-07,16
6,boundary,wave,apv,G*G->F,0.0308828571726689,1,2,1.51359460086814e-14,4.31900125512261e-10,2.12126980544059e-07,16
6,apv,boundary,wave,F*G->G,0.00249790527918273,3,2,4.56259240112499e-16,4.31900125512261e-10,0.000781378275008409,8
6,apv,boundary,wave,G*dG->G,0.00446838143174942,3,2,2.18630307888842e-15,4.31900125512261e-10,0.000781378275008409,8
6,apv,boundary,apv,G*dF->F,0.0205769430177084,3,2,3.5527136788005e-15,4.31900125512261e-10,2.12126980544059e-07,8
6,apv,boundary,apv,F*F->F,0.00655469390971222,-1,1,3.77475828372553e-15,4.31900125512261e-10,2.12126980544059e-07,8
6,apv,boundary,apv,G*G->F,0.0205769430177085,3,2,3.5527136788005e-15,4.31900125512261e-10,2.12126980544059e-07,8
7,wave,wave,wave,F*G->G,0.38920808129493,8,8,1.5031720681178e-15,1.32795212962528e-11,0.000781377983950812,64
7,wave,wave,wave,G*dG->G,0.38920808129493,8,8,1.71788648265602e-15,1.32795212962528e-11,0.000781377983950812,64
7,wave,wave,apv,G*dF->F,0.00858233397586239,8,7,1.45572211641685e-15,1.66950581942882e-11,2.12126980544059e-07,64
7,wave,wave,apv,F*F->F,0.00858190854524708,8,7,1.35751328301174e-15,1.66950581942882e-11,2.12126980544059e-07,64
7,wave,wave,apv,G*G->F,0.00858233397586253,8,7,1.41924370411217e-15,1.66950581942882e-11,2.12126980544059e-07,64
7,wave,apv,wave,F*G->G,0.00398389350213743,8,3,5.3636806685492e-16,1.66950581942882e-11,0.000781377983950812,32
7,wave,apv,wave,G*dG->G,0.00915452215693557,8,3,1.86629470115441e-15,1.66950581942882e-11,0.000781377983950812,32
7,wave,apv,apv,G*dF->F,0.000284278309846169,8,3,1.7388781668074e-15,1.66950581942882e-11,2.12126980544059e-07,32
7,wave,apv,apv,F*F->F,0.000283975264209622,8,3,1.76080546052675e-15,1.66950581942882e-11,2.12126980544059e-07,32
7,wave,apv,apv,G*G->F,0.00028427830984631,8,3,2.0477513517588e-15,1.66950581942882e-11,2.12126980544059e-07,32
7,apv,wave,wave,F*G->G,0.00915452215693551,3,8,1.8751517313957e-15,1.66950581942882e-11,0.000781377983950812,32
7,apv,wave,wave,G*dG->G,0.00398389350213743,3,8,4.15609302333175e-16,1.66950581942882e-11,0.000781377983950812,32
7,apv,wave,apv,G*dF->F,0.000284278309846197,3,8,1.78821091331879e-15,1.66950581942882e-11,2.12126980544059e-07,32
7,apv,wave,apv,F*F->F,0.000283975264209622,3,8,1.76080546052675e-15,1.66950581942882e-11,2.12126980544059e-07,32
7,apv,wave,apv,G*G->F,0.00028427830984631,3,8,2.0477513517588e-15,1.66950581942882e-11,2.12126980544059e-07,32
7,wave,boundary,wave,F*G->G,0.00271196756567629,8,2,3.90410742061455e-16,4.31900125512261e-10,0.000781377983950812,16
7,wave,boundary,wave,G*dG->G,0.00191037812280475,1,2,2.56784676304756e-14,4.31900125512261e-10,0.000781377983950812,16
7,wave,boundary,apv,G*dF->F,0.0308828571726689,2,1,1.46865595755759e-14,4.31900125512261e-10,2.12126980544059e-07,16
7,wave,boundary,apv,F*F->F,0.00659370398692112,1,1,3.77475828372553e-15,4.31900125512261e-10,2.12126980544059e-07,16
7,wave,boundary,apv,G*G->F,0.0308828571726689,2,1,1.51359460086814e-14,4.31900125512261e-10,2.12126980544059e-07,16
7,boundary,wave,wave,F*G->G,0.00191037812280467,2,1,2.57655370133566e-14,4.31900125512261e-10,0.000781377983950812,16
7,boundary,wave,wave,G*dG->G,0.00271196756567634,2,8,3.64099585041225e-16,4.31900125512261e-10,0.000781377983950812,16
7,boundary,wave,apv,G*dF->F,0.030882857172669,1,2,1.56175745740244e-14,4.31900125512261e-10,2.12126980544059e-07,16
7,boundary,wave,apv,F*F->F,0.00659370398692112,1,1,3.77475828372553e-15,4.31900125512261e-10,2.12126980544059e-07,16
7,boundary,wave,apv,G*G->F,0.0308828571726689,1,2,1.51359460086814e-14,4.31900125512261e-10,2.12126980544059e-07,16
7,apv,boundary,wave,F*G->G,0.00249790518572918,3,2,4.36693164529213e-16,4.31900125512261e-10,0.000781377983950812,8
7,apv,boundary,wave,G*dG->G,0.00446838125256166,3,2,2.18621137520183e-15,4.31900125512261e-10,0.000781377983950812,8
7,apv,boundary,apv,G*dF->F,0.0205769430177084,3,2,3.5527136788005e-15,4.31900125512261e-10,2.12126980544059e-07,8
7,apv,boundary,apv,F*F->F,0.00655469390971222,-1,1,3.77475828372553e-15,4.31900125512261e-10,2.12126980544059e-07,8
7,apv,boundary,apv,G*G->F,0.0205769430177085,3,2,3.5527136788005e-15,4.31900125512261e-10,2.12126980544059e-07,8
8,wave,wave,wave,F*G->G,0.389208133575792,8,8,2.45199930952336e-15,1.32795212962528e-11,0.000781378420852016,64
8,wave,wave,wave,G*dG->G,0.389208173255958,8,8,2.41886867720792e-15,1.32795212962528e-11,0.000781378420852016,64
