profile,Nz,Lxy,family,kappa,policy,retainedFraction,energyFraction,bandwidthFraction,linearCount,retainedCount,apvCount,sampleCount,maximumAliasError,p95AliasError,maximumReferenceError,maximumFullReferenceError,scoreSeconds,linearConstructionSeconds,fineCount,referenceCount,coarseAgreement
constant,33,100000,apv,0,effectiveBandwidth,0.666666666666667,0.999,0.5,18,9,9,51,1.50050128201732e-07,2.4739332437682e-08,1.2359208444571e-15,5.18413660759339e-15,0.00132516666666667,3.40223083333333,223,445,0
constant,33,100000,apv,0,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,18,12,12,84,0.00337244609329856,0.000545529883820026,1.35768165003839e-15,7.00494720994881e-15,0.00125508333333333,3.40223083333333,223,445,0
constant,33,100000,apv,0,effectiveBandwidth,0.666666666666667,0.999,0.75,18,14,14,108,0.140354852196132,0.0305793326648974,2.2888575463256e-15,8.82722648500478e-15,0.00124675,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,none,0.666666666666667,0.99,0.666666666666667,18,18,18,264,0.682897033368976,0.390956072210016,2.96365586737655e-15,1.1903569533831e-14,0.000770666666666667,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,fixedFraction,0.5,0.99,0.666666666666667,18,9,9,78,1.50556114524321e-07,2.78424061328062e-08,1.35757878982597e-15,5.75697705776609e-15,0.000867125,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,fixedFraction,0.666666666666667,0.99,0.666666666666667,18,12,12,138,0.00337756977287912,0.000645235821324809,1.97709238265171e-15,7.65409934409143e-15,0.000717333333333333,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,fixedFraction,0.75,0.99,0.666666666666667,18,13,13,159,0.0286197619993834,0.00614114635087623,2.7699293155452e-15,8.72275745516578e-15,0.00409429166666667,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.95,0.5,18,11,11,117,0.00022696918531067,4.8903664466628e-05,1.73537035096362e-15,7.38151855804399e-15,0.002481375,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,18,14,14,180,0.140474740659199,0.0286197619993834,2.85355382261798e-15,9.98932128760039e-15,0.0017615,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.95,0.75,18,16,16,222,0.596650297866506,0.176249513343831,2.96365586737655e-15,1.08714554854902e-14,0.001693125,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.99,0.5,18,10,10,96,8.27366948092977e-06,1.54712890110004e-06,1.40862683552156e-15,6.63722075875169e-15,0.00269,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,18,13,13,159,0.0286197619993834,0.00614114635087623,2.7699293155452e-15,8.72275745516578e-15,0.00160154166666667,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.99,0.75,18,15,15,201,0.392383538796789,0.133442714118217,2.96365586737655e-15,1.08714554854902e-14,0.00131241666666667,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.999,0.5,18,9,9,78,1.50556114524321e-07,2.78424061328062e-08,1.35757878982597e-15,5.75697705776609e-15,0.00230970833333333,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,18,12,12,138,0.00337756977287912,0.000645235821324809,1.97709238265171e-15,7.65409934409143e-15,0.00139158333333333,3.40223083333333,223,445,0
constant,33,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.999,0.75,18,14,14,180,0.140474740659199,0.0286197619993834,2.85355382261798e-15,9.98932128760039e-15,0.000924625,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,none,0.666666666666667,0.99,0.666666666666667,18,18,18,264,0.68289703332569,0.390956072178889,2.99837961309234e-15,1.1945819040857e-14,0.00041075,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,fixedFraction,0.5,0.99,0.666666666666667,18,9,9,78,1.50556112240208e-07,2.78424053207304e-08,1.39240799838454e-15,5.70203843884745e-15,0.000283083333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,fixedFraction,0.666666666666667,0.99,0.666666666666667,18,12,12,138,0.00337756976183721,0.00064523581855953,2.00078399239807e-15,7.73095449427219e-15,0.000126875,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,fixedFraction,0.75,0.99,0.666666666666667,18,13,13,159,0.0286197619426304,0.00614114633934107,2.69908330164403e-15,8.70420260941687e-15,0.000222166666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,effectiveBandwidth,0.666666666666667,0.95,0.5,18,11,11,117,0.000226969184091907,4.89036642731595e-05,1.64730383849814e-15,7.34205311501263e-15,0.001028875,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,18,14,14,180,0.140474740497939,0.0286197619426304,2.83778549939081e-15,1.00203037632548e-14,0.000689541666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,effectiveBandwidth,0.666666666666667,0.95,0.75,18,16,16,222,0.596650297774709,0.176249513288534,2.99837961309234e-15,1.08707002757665e-14,0.000704,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,effectiveBandwidth,0.666666666666667,0.99,0.5,18,10,10,96,8.27366943236802e-06,1.54712913597499e-06,1.42407326530616e-15,6.64706430803041e-15,0.000629166666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,18,13,13,159,0.0286197619426304,0.00614114633934107,2.69908330164403e-15,8.70420260941687e-15,0.000492125,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,effectiveBandwidth,0.666666666666667,0.99,0.75,18,15,15,201,0.392383538576911,0.133442714008072,2.99837961309234e-15,1.08707002757665e-14,0.000486375,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,effectiveBandwidth,0.666666666666667,0.999,0.5,18,9,9,78,1.50556112240208e-07,2.78424053207304e-08,1.39240799838454e-15,5.70203843884745e-15,0.000708125,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,18,12,12,138,0.00337756976183721,0.00064523581855953,2.00078399239807e-15,7.73095449427219e-15,0.0011135,3.40223083333333,223,445,0
constant,33,100000,wave,0.000140496294620815,effectiveBandwidth,0.666666666666667,0.999,0.75,18,14,14,180,0.140474740497939,0.0286197619426304,2.83778549939081e-15,1.00203037632548e-14,0.000910875,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,none,0.666666666666667,0.99,0.666666666666667,18,18,18,264,0.682897033240574,0.39095607211738,2.95839530550948e-15,1.18883963295065e-14,0.000120625,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,fixedFraction,0.5,0.99,0.666666666666667,18,9,9,78,1.50556104377865e-07,2.78424056935352e-08,1.42413108795841e-15,5.6886269297511e-15,0.000182916666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,fixedFraction,0.666666666666667,0.99,0.666666666666667,18,12,12,138,0.00337756973975506,0.00064523581303868,1.99020186996652e-15,7.64796230705027e-15,9.27083333333333e-05,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,fixedFraction,0.75,0.99,0.666666666666667,18,13,13,159,0.0286197618285552,0.00614114631397845,2.76829674604346e-15,8.62879700301432e-15,9.08333333333333e-05,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.95,0.5,18,11,11,117,0.00022696918167122,4.8903663920359e-05,1.66246159844196e-15,7.36161218370071e-15,0.000625791666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,18,14,14,180,0.140474740175981,0.0286197618285552,2.81944128838653e-15,9.96277520534432e-15,0.000606416666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.95,0.75,18,16,16,222,0.596650297590884,0.176249513177972,2.95839530550948e-15,1.08875153708845e-14,0.0004395,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.99,0.5,18,10,10,96,8.27366928140953e-06,1.547128995495e-06,1.45108034607096e-15,6.63922912490323e-15,0.000520125,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,18,13,13,159,0.0286197618285552,0.00614114631397845,2.76829674604346e-15,8.62879700301432e-15,0.000527,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.99,0.75,18,15,15,201,0.392383538137176,0.133442713788092,2.95839530550948e-15,1.08875153708845e-14,0.000442583333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.999,0.5,18,9,9,78,1.50556104377865e-07,2.78424056935352e-08,1.42413108795841e-15,5.6886269297511e-15,0.000455875,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,18,12,12,138,0.00337756973975506,0.00064523581303868,1.99020186996652e-15,7.64796230705027e-15,0.000490708333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.00022654346798278,effectiveBandwidth,0.666666666666667,0.999,0.75,18,14,14,180,0.140474740175981,0.0286197618285552,2.81944128838653e-15,9.96277520534432e-15,0.000481666666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,none,0.666666666666667,0.99,0.666666666666667,18,18,18,264,0.68289703318762,0.390956072079058,2.97684708636389e-15,1.19420609142034e-14,0.00023625,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,fixedFraction,0.5,0.99,0.666666666666667,18,9,9,78,1.50556092038494e-07,2.78424036624909e-08,1.38519227979851e-15,5.7400840204644e-15,0.000152375,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,fixedFraction,0.666666666666667,0.99,0.666666666666667,18,12,12,138,0.00337756972583786,0.000645235809575808,2.01151599181029e-15,7.62899612875179e-15,0.000113583333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,fixedFraction,0.75,0.99,0.666666666666667,18,13,13,159,0.0286197617573921,0.00614114629749243,2.77199289601443e-15,8.64817877413779e-15,0.000110958333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.95,0.5,18,11,11,117,0.000226969180144419,4.89036629654905e-05,1.66382216381051e-15,7.3834718831676e-15,0.000573208333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,18,14,14,180,0.140474739974634,0.0286197617573921,2.77880120253665e-15,9.94616949632851e-15,0.0005265,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.95,0.75,18,16,16,222,0.596650297476659,0.176249513108909,2.97684708636389e-15,1.08689148388352e-14,0.000513875,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.99,0.5,18,10,10,96,8.27366917328977e-06,1.54712918581492e-06,1.43117823806076e-15,6.64974969343556e-15,0.000520375,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,18,13,13,159,0.0286197617573921,0.00614114629749243,2.77199289601443e-15,8.64817877413779e-15,0.000467416666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.99,0.75,18,15,15,201,0.392383537862522,0.13344271365064,2.97684708636389e-15,1.08689148388352e-14,0.000451875,3.40223083333333,223,445,0
