profile,Nz,Lxy,family,kappa,i,j,channel,mixed,aliasError,referenceError,fullReferenceError
constant,129,12500,wave,0.00256304675910625,11,11,GG,1,3.285454262986e-15,1.20240179367632e-15,3.58731449226239e-15
constant,129,12500,wave,0.00256304675910625,11,68,GG,1,1.44191638386254e-13,4.71884712899049e-15,1.99931103040983e-14
constant,129,12500,wave,0.00256304675910625,12,12,GG,1,3.8978783566966e-15,8.51044738998974e-16,3.77173174844939e-15
constant,129,12500,wave,0.00256304675910625,12,67,GG,1,9.50672533482412e-14,4.20664962023373e-15,1.88166181839123e-14
constant,129,12500,wave,0.00256304675910625,13,13,GG,1,3.56272959602969e-15,1.2041406655305e-15,4.14522950046645e-15
constant,129,12500,wave,0.00256304675910625,13,66,GG,1,1.541500704253e-13,4.66085345669592e-15,1.88132136287119e-14
constant,129,12500,wave,0.00256304675910625,14,14,GG,1,5.77115504307034e-15,1.13237903902503e-15,4.38329234281211e-15
constant,129,12500,wave,0.00256304675910625,14,65,GG,1,1.10479000961057e-13,4.4790324717088e-15,1.89741069709194e-14
constant,129,12500,wave,0.00256304675910625,15,15,GG,1,4.77788300222906e-15,1.28325687859558e-15,4.84862852797957e-15
constant,129,12500,wave,0.00256304675910625,15,64,GG,1,1.34078324852624e-13,4.40109517740192e-15,1.79490346212144e-14
constant,129,12500,wave,0.00256304675910625,16,16,GG,1,8.49248534641776e-15,1.26596813373284e-15,5.07685041001911e-15
constant,129,12500,wave,0.00256304675910625,16,63,GG,1,9.73370396982215e-14,4.12199774072923e-15,1.77313608643981e-14
constant,129,12500,wave,0.00256304675910625,17,17,GG,1,5.93049220314146e-15,1.40193578610217e-15,5.63285597105032e-15
constant,129,12500,wave,0.00256304675910625,17,62,GG,1,9.02155233938472e-14,4.15224098141356e-15,1.85528973680053e-14
constant,129,12500,wave,0.00256304675910625,18,18,GG,1,9.97604072846224e-15,1.51706651520726e-15,5.6608157599089e-15
constant,129,12500,wave,0.00256304675910625,18,61,GG,1,8.86206825133888e-14,3.86690928770641e-15,1.75010957738964e-14
constant,129,12500,wave,0.00256304675910625,19,19,GG,1,7.03448940042989e-15,1.50388583541064e-15,6.24868143179057e-15
constant,129,12500,wave,0.00256304675910625,19,60,GG,1,1.01750330947571e-13,4.29481420334594e-15,1.70381021084855e-14
constant,129,12500,wave,0.00256304675910625,20,20,GG,1,1.32274682461434e-14,1.70657289832811e-15,6.26234326221448e-15
constant,129,12500,wave,0.00256304675910625,20,59,GG,1,9.60818094019148e-14,4.25000986420879e-15,1.7282659594499e-14
constant,129,12500,wave,0.00256304675910625,21,21,GG,1,1.15549001764444e-14,2.00156388614258e-15,7.09662266817973e-15
constant,129,12500,wave,0.00256304675910625,21,58,GG,1,9.19629559995263e-14,4.45446481564491e-15,1.61893011379699e-14
constant,129,12500,wave,0.00256304675910625,22,22,GG,1,1.47577832895199e-14,1.87163861721378e-15,7.17384577967756e-15
constant,129,12500,wave,0.00256304675910625,22,57,GG,1,7.59352115673964e-14,3.56102021842991e-15,1.66126285151392e-14
constant,129,12500,wave,0.00256304675910625,23,23,GG,1,1.15922572454311e-14,2.19442759396145e-15,7.5510400627959e-15
constant,129,12500,wave,0.00256304675910625,23,56,GG,1,7.73357968902519e-14,4.14411428274823e-15,1.64400731537442e-14
constant,129,12500,wave,0.00256304675910625,24,24,GG,1,1.73734755720099e-14,2.12446565626198e-15,7.81428486144727e-15
constant,129,12500,wave,0.00256304675910625,24,55,GG,1,6.25719526577923e-14,3.90660517017287e-15,1.6406406435007e-14
constant,129,12500,wave,0.00256304675910625,25,25,GG,1,1.98493819739945e-14,1.97787578909519e-15,8.41432277229323e-15
constant,129,12500,wave,0.00256304675910625,25,54,GG,1,9.11443523634654e-14,3.65967595844076e-15,1.6002899745381e-14
constant,129,12500,wave,0.00256304675910625,26,26,GG,1,2.36473572382267e-14,2.54011198111741e-15,8.44088125590291e-15
constant,129,12500,wave,0.00256304675910625,26,53,GG,1,6.68892977607858e-14,3.72545513316417e-15,1.59359579319791e-14
constant,129,12500,wave,0.00256304675910625,27,27,GG,1,2.43096863547693e-14,2.13088513744921e-15,9.1509990997098e-15
constant,129,12500,wave,0.00256304675910625,27,52,GG,1,8.39987898393913e-14,3.74561700810365e-15,1.63153899190965e-14
constant,129,12500,wave,0.00256304675910625,28,28,GG,1,2.91080010047818e-14,2.07794037432284e-15,8.60735574192684e-15
constant,129,12500,wave,0.00256304675910625,28,51,GG,1,8.6724876012814e-14,3.56937306777038e-15,1.57785457507223e-14
constant,129,12500,wave,0.00256304675910625,29,29,GG,1,2.69710838795788e-14,2.32129103018737e-15,9.68054418714998e-15
constant,129,12500,wave,0.00256304675910625,29,50,GG,1,8.63548529821537e-14,4.2577570270901e-15,1.59270284916276e-14
constant,129,12500,wave,0.00256304675910625,30,30,GG,1,3.75206422894316e-14,2.51737506261411e-15,9.96452386562045e-15
constant,129,12500,wave,0.00256304675910625,30,49,GG,1,8.79261925715868e-14,3.54519645007601e-15,1.54983250635344e-14
constant,129,12500,wave,0.00256304675910625,31,31,GG,1,4.09738187139277e-14,2.55451617236963e-15,9.87953711845245e-15
constant,129,12500,wave,0.00256304675910625,31,48,GG,1,9.22445723985512e-14,3.85945089180123e-15,1.57545230556337e-14
constant,129,12500,wave,0.00256304675910625,32,32,GG,1,6.33555967455495e-14,2.57174135378245e-15,1.04413068498651e-14
constant,129,12500,wave,0.00256304675910625,32,47,GG,1,9.35206428972289e-14,3.53284035781499e-15,1.56333298336387e-14
constant,129,12500,wave,0.00256304675910625,33,33,GG,1,6.13209699067233e-14,3.23917872520658e-15,1.11371587822911e-14
constant,129,12500,wave,0.00256304675910625,33,46,GG,1,1.1604803657716e-13,3.97263809395032e-15,1.54824384478493e-14
constant,129,12500,wave,0.00256304675910625,34,34,GG,1,6.27718464725983e-14,2.97708119615586e-15,1.08584994025268e-14
constant,129,12500,wave,0.00256304675910625,34,45,GG,1,1.14804595155867e-13,3.76703508778153e-15,1.57577377020819e-14
constant,129,12500,wave,0.00256304675910625,35,35,GG,1,8.1259970523639e-14,3.12058518643645e-15,1.14903886527334e-14
constant,129,12500,wave,0.00256304675910625,35,44,GG,1,1.40476579683525e-13,3.6513076526058e-15,1.52512379015012e-14
constant,129,12500,wave,0.00256304675910625,36,36,GG,1,7.59515825320286e-14,3.2773577778417e-15,1.19201874456979e-14
constant,129,12500,wave,0.00256304675910625,36,43,GG,1,1.38173250518856e-13,3.51529316360222e-15,1.55432909571571e-14
constant,129,12500,wave,0.00256304675910625,37,37,GG,1,8.27535454690795e-14,2.73789362318157e-15,1.19467456882534e-14
constant,129,12500,wave,0.00256304675910625,37,42,GG,1,1.3240662851209e-13,3.72704399522757e-15,1.55534535882095e-14
constant,129,12500,wave,0.00256304675910625,38,38,GG,1,1.01709068237838e-13,3.27226530565756e-15,1.22250576957255e-14
constant,129,12500,wave,0.00256304675910625,38,41,GG,1,1.34420043504671e-13,3.68646520453878e-15,1.5201163334124e-14
constant,129,12500,wave,0.00256304675910625,39,39,GG,1,1.17496554873718e-13,2.84473755618754e-15,1.22802510943281e-14
constant,129,12500,wave,0.00256304675910625,39,40,GG,1,1.43405915475033e-13,3.79479482507176e-15,1.44174414517585e-14
constant,129,12500,wave,0.00256304675910625,40,39,GG,1,1.78606771143098e-13,4.00323321235464e-15,1.47264081274605e-14
constant,129,12500,wave,0.00256304675910625,40,40,GG,1,1.59973866902839e-13,3.76608582513316e-15,1.33193114551795e-14
constant,129,12500,wave,0.00256304675910625,41,38,GG,1,2.14397955507231e-13,3.65307514163391e-15,1.52358769140225e-14
constant,129,12500,wave,0.00256304675910625,41,41,GG,1,2.84549501867124e-13,3.40819353501375e-15,1.37251280624785e-14
constant,129,12500,wave,0.00256304675910625,42,37,GG,1,1.74128112301084e-13,3.89550506094371e-15,1.54691681668861e-14
constant,129,12500,wave,0.00256304675910625,42,42,GG,1,3.78348165492552e-12,4.23007192790078e-15,1.44266009339034e-14
constant,129,12500,wave,0.00256304675910625,43,36,GG,1,1.56307147768785e-13,3.63362892648602e-15,1.55228586481617e-14
constant,129,12500,wave,0.00256304675910625,43,43,GG,1,5.71477106601479e-11,3.6204321692529e-15,1.42446833583562e-14
constant,129,12500,wave,0.00256304675910625,44,35,GG,1,1.85501610769244e-13,3.59341865270659e-15,1.55882286792612e-14
constant,129,12500,wave,0.00256304675910625,44,44,GG,1,7.49584581921555e-10,3.10748650296199e-15,1.38346799277893e-14
constant,129,12500,wave,0.00256304675910625,45,34,GG,1,2.19228644734663e-13,3.68086682149771e-15,1.53967265321013e-14
constant,129,12500,wave,0.00256304675910625,45,45,GG,1,8.46407404821852e-09,3.12093008784483e-15,1.49311235837716e-14
