family,step,rateMax,error,omittedTimeError,profile,amplitude,Nx,Nz,apvModes,waveModes,mdaModes
Aw_p,0.5,6.9379371150519e-07,7.91999815420369e-16,1.57211424121311e-13,constant,0.1,16,65,6,8,4
Aw_m,0.5,3.49220830588301e-07,7.61001112615804e-16,1.57322913168797e-13,constant,0.1,16,65,6,8,4
Ag_q,0.5,1.7405816262668e-12,8.76956232439786e-23,8.92367846858008e-23,constant,0.1,16,65,6,8,4
Ag_0,0.5,2.19155345478216e-10,2.53380960088795e-19,3.96424346760016e-19,constant,0.1,16,65,6,8,4
Aio,0.5,5.77016251606788e-07,2.39526925803294e-18,2.69972153524428e-18,constant,0.1,16,65,6,8,4
Amda,0.5,1.26189949028915e-07,1.15218583092552e-17,1.15218583092552e-17,constant,0.1,16,65,6,8,4
Aw_p,0.25,6.9379371150519e-07,9.87450192625006e-16,1.56678951389898e-13,constant,0.1,16,65,6,8,4
Aw_m,0.25,3.49220830588301e-07,1.62611230502344e-15,1.57092402819464e-13,constant,0.1,16,65,6,8,4
Ag_q,0.25,1.7405816262668e-12,2.78004728850071e-22,2.68036126742401e-22,constant,0.1,16,65,6,8,4
Ag_0,0.25,2.19155345478216e-10,4.54242143179869e-19,8.66618666518606e-19,constant,0.1,16,65,6,8,4
Aio,0.25,5.77016251606788e-07,5.62971721964617e-18,6.03738621409545e-18,constant,0.1,16,65,6,8,4
Amda,0.25,1.26189949028915e-07,1.84607522131625e-17,1.84607522131625e-17,constant,0.1,16,65,6,8,4
Aw_p,0.125,6.9379371150519e-07,1.36129558836482e-15,1.55498803545616e-13,constant,0.1,16,65,6,8,4
Aw_m,0.125,3.49220830588301e-07,2.79992158047762e-15,1.55497118675314e-13,constant,0.1,16,65,6,8,4
Ag_q,0.125,1.7405816262668e-12,4.89775853966313e-22,5.73831500743739e-22,constant,0.1,16,65,6,8,4
Ag_0,0.125,2.19155345478216e-10,1.18423103292467e-18,1.21951531236547e-18,constant,0.1,16,65,6,8,4
Aio,0.125,5.77016251606788e-07,2.07800217015738e-17,2.07256721064147e-17,constant,0.1,16,65,6,8,4
Amda,0.125,1.26189949028915e-07,6.48059746337243e-17,6.48059746337243e-17,constant,0.1,16,65,6,8,4
Aw_p,4,6.93774222621227e-09,8.15857296283102e-18,1.56974789538456e-14,constant,0.01,16,65,6,8,4
Aw_m,4,3.49211698759712e-09,6.9308521782358e-18,1.56951646241934e-14,constant,0.01,16,65,6,8,4
Ag_q,4,1.74056833942648e-14,1.61159045129223e-24,1.86810334255939e-24,constant,0.01,16,65,6,8,4
Ag_0,4,2.19152828692848e-12,2.95281719499347e-21,3.76556922755582e-21,constant,0.01,16,65,6,8,4
Aio,4,5.77016243867442e-09,8.98812663222101e-20,1.39383132767131e-19,constant,0.01,16,65,6,8,4
Amda,4,1.26186050067836e-09,1.37278274073841e-19,2.45698491322392e-19,constant,0.01,16,65,6,8,4
Aw_p,2,6.93774222621227e-09,1.94586530081412e-17,1.56907097354814e-14,constant,0.01,16,65,6,8,4
Aw_m,2,3.49211698759712e-09,1.59795588767389e-17,1.56855472437835e-14,constant,0.01,16,65,6,8,4
Ag_q,2,1.74056833942648e-14,1.54330694477009e-24,3.45742346100718e-24,constant,0.01,16,65,6,8,4
Ag_0,2,2.19152828692848e-12,1.59687084834756e-20,7.48195246437172e-21,constant,0.01,16,65,6,8,4
Aio,2,5.77016243867442e-09,1.96400245176731e-19,1.93887132042514e-19,constant,0.01,16,65,6,8,4
Amda,2,1.26186050067836e-09,5.87655370142119e-19,5.87655370142119e-19,constant,0.01,16,65,6,8,4
Aw_p,1,6.93774222621227e-09,4.33163935054403e-17,1.57315635670361e-14,constant,0.01,16,65,6,8,4
Aw_m,1,3.49211698759712e-09,4.01929160031422e-17,1.57006153483293e-14,constant,0.01,16,65,6,8,4
Ag_q,1,1.74056833942648e-14,8.41825131581085e-24,5.97026539960219e-24,constant,0.01,16,65,6,8,4
Ag_0,1,2.19152828692848e-12,1.39091159879602e-20,1.35918774096686e-20,constant,0.01,16,65,6,8,4
Aio,1,5.77016243867442e-09,4.23682729679602e-19,6.07963883248824e-19,constant,0.01,16,65,6,8,4
Amda,1,1.26186050067836e-09,8.38503681163113e-19,1.27218455015731e-18,constant,0.01,16,65,6,8,4
Aw_p,0.5,6.93774222621227e-09,7.87615863573739e-17,1.57044701047592e-14,constant,0.01,16,65,6,8,4
Aw_m,0.5,3.49211698759712e-09,8.01513809039838e-17,1.57658618717448e-14,constant,0.01,16,65,6,8,4
Ag_q,0.5,1.74056833942648e-14,9.76163848333253e-24,1.51996817737597e-23,constant,0.01,16,65,6,8,4
Ag_0,0.5,2.19152828692848e-12,2.24444219382352e-20,2.24060828514518e-20,constant,0.01,16,65,6,8,4
Aio,0.5,5.77016243867442e-09,4.22792853076653e-19,5.76285014481913e-19,constant,0.01,16,65,6,8,4
Amda,0.5,1.26186050067836e-09,1.02133623913632e-18,1.88869797712472e-18,constant,0.01,16,65,6,8,4
Aw_p,0.25,6.93774222621227e-09,9.44328612637334e-17,1.56626881653746e-14,constant,0.01,16,65,6,8,4
Aw_m,0.25,3.49211698759712e-09,9.36633333418321e-17,1.56505815321489e-14,constant,0.01,16,65,6,8,4
Ag_q,0.25,1.74056833942648e-14,3.12631630749689e-23,2.31443450274959e-23,constant,0.01,16,65,6,8,4
Ag_0,0.25,2.19152828692848e-12,7.43554384456164e-20,4.88167227642987e-20,constant,0.01,16,65,6,8,4
Aio,0.25,5.77016243867442e-09,1.09932744562979e-18,1.27023004429721e-18,constant,0.01,16,65,6,8,4
Amda,0.25,1.26186050067836e-09,2.13954628814572e-18,2.13954628814572e-18,constant,0.01,16,65,6,8,4
