time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
407,8.29592915597752e-07,1000,5224.2606155886,36390.5260070342,-999.999800000032,-0.000199999970177252,constant,linear,displacement,2,5
447,8.2959291560427e-07,1000,5224.26061558851,36390.5260070336,-999.999800000036,-0.000199999965712176,constant,linear,displacement,2,5
487,8.29592915598553e-07,1000,5224.26061558859,36390.5260070342,-999.999800000033,-0.000199999968671249,constant,linear,displacement,2,5
327,8.29592915550153e-07,1000,5224.26061558924,36390.5260070398,-999.9998,-0.000199999999999988,constant,linear,density,2,20
367,8.29592915579329e-07,1000,5224.26061558884,36390.5260070364,-999.999800000019,-0.000199999981823047,constant,linear,density,2,20
407,8.29592915597706e-07,1000,5224.2606155886,36390.5260070342,-999.999800000032,-0.000199999970177255,constant,linear,density,2,20
447,8.29592915604224e-07,1000,5224.26061558851,36390.5260070336,-999.999800000036,-0.000199999965712178,constant,linear,density,2,20
487,8.29592915598505e-07,1000,5224.26061558859,36390.5260070342,-999.999800000033,-0.000199999968671251,constant,linear,density,2,20
327,8.29592915550153e-07,1000,5224.26061558924,36390.5260070398,-999.9998,-0.000199999999999988,constant,linear,density,2,10
367,8.29592915579328e-07,1000,5224.26061558884,36390.5260070364,-999.999800000019,-0.000199999981823048,constant,linear,density,2,10
407,8.29592915597705e-07,1000,5224.2606155886,36390.5260070342,-999.999800000032,-0.000199999970177257,constant,linear,density,2,10
447,8.29592915604222e-07,1000,5224.26061558851,36390.5260070336,-999.999800000036,-0.000199999965712181,constant,linear,density,2,10
487,8.29592915598504e-07,1000,5224.26061558859,36390.5260070342,-999.999800000033,-0.000199999968671254,constant,linear,density,2,10
327,8.29592915550153e-07,1000,5224.26061558924,36390.5260070398,-999.9998,-0.000199999999999988,constant,linear,density,2,5
367,8.29592915579328e-07,1000,5224.26061558884,36390.5260070364,-999.999800000019,-0.000199999981823048,constant,linear,density,2,5
407,8.29592915597704e-07,1000,5224.2606155886,36390.5260070342,-999.999800000032,-0.000199999970177257,constant,linear,density,2,5
447,8.29592915604222e-07,1000,5224.26061558851,36390.5260070336,-999.999800000036,-0.000199999965712181,constant,linear,density,2,5
487,8.29592915598505e-07,1000,5224.26061558859,36390.5260070342,-999.999800000033,-0.000199999968671253,constant,linear,density,2,5
327,8.29593142860354e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999994,constant,linear,displacement,3,20
367,8.29593142889531e-07,999.999999999999,5224.2606155888,36390.5260070363,-999.999800000019,-0.000199999981823049,constant,linear,displacement,3,20
407,8.29593142907909e-07,1000,5224.26061558856,36390.5260070343,-999.999800000032,-0.000199999970177276,constant,linear,displacement,3,20
447,8.29593142914425e-07,1000,5224.26061558849,36390.5260070335,-999.999800000036,-0.000199999965712234,constant,linear,displacement,3,20
487,8.29593142908708e-07,1000,5224.26061558856,36390.5260070341,-999.999800000033,-0.000199999968671352,constant,linear,displacement,3,20
327,8.29593142860354e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999994,constant,linear,displacement,3,10
367,8.29593142889531e-07,999.999999999999,5224.2606155888,36390.5260070363,-999.999800000019,-0.00019999998182305,constant,linear,displacement,3,10
407,8.29593142907908e-07,1000,5224.26061558856,36390.5260070343,-999.999800000032,-0.000199999970177278,constant,linear,displacement,3,10
447,8.29593142914425e-07,1000,5224.26061558849,36390.5260070335,-999.999800000036,-0.000199999965712236,constant,linear,displacement,3,10
487,8.29593142908707e-07,1000,5224.26061558856,36390.5260070341,-999.999800000033,-0.000199999968671354,constant,linear,displacement,3,10
327,8.29593142860354e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999994,constant,linear,displacement,3,5
367,8.29593142889532e-07,999.999999999999,5224.2606155888,36390.5260070363,-999.999800000019,-0.00019999998182305,constant,linear,displacement,3,5
407,8.29593142907909e-07,1000,5224.26061558856,36390.5260070343,-999.999800000032,-0.000199999970177279,constant,linear,displacement,3,5
447,8.29593142914426e-07,1000,5224.26061558849,36390.5260070335,-999.999800000036,-0.000199999965712236,constant,linear,displacement,3,5
487,8.29593142908707e-07,1000,5224.26061558856,36390.5260070341,-999.999800000033,-0.000199999968671355,constant,linear,displacement,3,5
327,8.29593142860306e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999988,constant,linear,density,3,20
367,8.29593142889483e-07,999.999999999999,5224.2606155888,36390.5260070363,-999.999800000019,-0.000199999981823053,constant,linear,density,3,20
407,8.2959314290786e-07,1000,5224.26061558856,36390.5260070343,-999.999800000032,-0.000199999970177282,constant,linear,density,3,20
447,8.29593142914377e-07,1000,5224.26061558849,36390.5260070335,-999.999800000036,-0.000199999965712239,constant,linear,density,3,20
487,8.29593142908659e-07,1000,5224.26061558856,36390.5260070341,-999.999800000033,-0.000199999968671357,constant,linear,density,3,20
327,8.29593142860306e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999988,constant,linear,density,3,10
367,8.29593142889481e-07,999.999999999999,5224.2606155888,36390.5260070363,-999.999800000019,-0.000199999981823055,constant,linear,density,3,10
407,8.2959314290786e-07,1000,5224.26061558856,36390.5260070343,-999.999800000032,-0.000199999970177283,constant,linear,density,3,10
447,8.29593142914377e-07,1000,5224.26061558849,36390.5260070335,-999.999800000036,-0.000199999965712241,constant,linear,density,3,10
487,8.29593142908659e-07,1000,5224.26061558856,36390.5260070341,-999.999800000033,-0.000199999968671359,constant,linear,density,3,10
327,8.29593142860306e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999988,constant,linear,density,3,5
367,8.29593142889483e-07,999.999999999999,5224.2606155888,36390.5260070363,-999.999800000019,-0.000199999981823055,constant,linear,density,3,5
407,8.29593142907859e-07,1000,5224.26061558856,36390.5260070343,-999.999800000032,-0.000199999970177284,constant,linear,density,3,5
447,8.29593142914376e-07,1000,5224.26061558849,36390.5260070335,-999.999800000036,-0.000199999965712241,constant,linear,density,3,5
487,8.2959314290866e-07,1000,5224.26061558856,36390.5260070341,-999.999800000033,-0.00019999996867136,constant,linear,density,3,5
327,8.29593142860354e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999994,constant,linear,displacement,4,20
367,8.29593142862157e-07,999.999999999999,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999951331,constant,linear,displacement,4,20
407,8.29593142863294e-07,1000,5224.26061558918,36390.5260070398,-999.9998,-0.000199999999881108,constant,linear,displacement,4,20
447,8.29593142863696e-07,1000,5224.26061558919,36390.5260070398,-999.9998,-0.000199999999787926,constant,linear,displacement,4,20
487,8.29593142863342e-07,1000,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999675877,constant,linear,displacement,4,20
327,8.29593142860354e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999994,constant,linear,displacement,4,10
367,8.29593142862158e-07,999.999999999999,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999951331,constant,linear,displacement,4,10
407,8.29593142863294e-07,1000,5224.26061558918,36390.5260070398,-999.9998,-0.000199999999881108,constant,linear,displacement,4,10
447,8.29593142863696e-07,1000,5224.26061558919,36390.5260070398,-999.9998,-0.000199999999787925,constant,linear,displacement,4,10
