time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
487,0.829594163087998,1000,5223.91581455306,36380.3592155913,-999.800000240288,-0.199999675907414,constant,waves,displacement,4,20
327,0.82959416024071,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,4,10
367,0.829594161961163,1000,5223.9158145266,36380.3592217916,-999.800000098853,-0.19999995131803,constant,waves,displacement,4,10
407,0.829594163040512,1000,5223.91581454929,36380.3592158255,-999.800000172657,-0.199999881107142,constant,waves,displacement,4,10
447,0.82959416342264,1000,5223.91581455825,36380.3592137179,-999.800000218468,-0.19999978793182,constant,waves,displacement,4,10
487,0.829594163087838,1000,5223.91581455301,36380.3592155908,-999.800000240288,-0.199999675907432,constant,waves,displacement,4,10
327,0.82959416024071,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,4,5
367,0.829594161961158,1000,5223.9158145266,36380.3592217915,-999.800000098853,-0.19999995131803,constant,waves,displacement,4,5
407,0.829594163040492,1000,5223.91581454929,36380.3592158255,-999.800000172657,-0.199999881107142,constant,waves,displacement,4,5
447,0.829594163422633,1000,5223.91581455825,36380.3592137179,-999.800000218468,-0.199999787931821,constant,waves,displacement,4,5
487,0.829594163087838,999.999999999999,5223.91581455301,36380.3592155908,-999.800000240288,-0.199999675907432,constant,waves,displacement,4,5
327,0.829594160240661,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999987,constant,waves,density,4,20
367,0.829594161961127,1000,5223.91581452663,36380.3592217918,-999.800000098853,-0.199999951318032,constant,waves,density,4,20
407,0.829594163040515,1000,5223.91581454932,36380.3592158261,-999.800000172657,-0.19999988110714,constant,waves,density,4,20
447,0.829594163422718,999.999999999999,5223.91581455829,36380.3592137185,-999.800000218468,-0.199999787931814,constant,waves,density,4,20
487,0.829594163087952,1000,5223.91581455306,36380.3592155913,-999.800000240288,-0.199999675907418,constant,waves,density,4,20
327,0.829594160240661,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999987,constant,waves,density,4,10
367,0.829594161961115,1000,5223.9158145266,36380.3592217916,-999.800000098853,-0.199999951318034,constant,waves,density,4,10
407,0.829594163040464,1000,5223.91581454929,36380.3592158255,-999.800000172657,-0.199999881107145,constant,waves,density,4,10
447,0.829594163422592,1000,5223.91581455825,36380.3592137179,-999.800000218468,-0.199999787931825,constant,waves,density,4,10
487,0.829594163087791,1000,5223.91581455301,36380.3592155908,-999.800000240288,-0.199999675907436,constant,waves,density,4,10
327,0.829594160240661,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999987,constant,waves,density,4,5
367,0.82959416196111,1000,5223.9158145266,36380.3592217915,-999.800000098853,-0.199999951318034,constant,waves,density,4,5
407,0.829594163040445,1000,5223.91581454929,36380.3592158255,-999.800000172657,-0.199999881107145,constant,waves,density,4,5
447,0.829594163422584,1000,5223.91581455825,36380.3592137179,-999.800000218468,-0.199999787931825,constant,waves,density,4,5
487,0.82959416308779,999.999999999999,5223.915814553,36380.3592155908,-999.800000240288,-0.199999675907436,constant,waves,density,4,5
327,0.829594201240327,999.999999999998,5223.91581449146,36380.3592312712,-999.8,-0.199999999999994,constant,waves,displacement,5,20
367,0.829594201317162,1000,5223.91581449285,36380.3592304267,-999.800000016925,-0.199999979916357,constant,waves,displacement,5,20
407,0.829594201358962,999.999999999998,5223.91581449371,36380.3592298951,-999.800000030288,-0.199999957721381,constant,waves,displacement,5,20
447,0.829594201376343,1000,5223.91581449406,36380.3592297063,-999.800000040101,-0.199999933794646,constant,waves,displacement,5,20
487,0.829594201361069,1000,5223.91581449379,36380.3592298723,-999.800000046278,-0.199999908958239,constant,waves,displacement,5,20
327,0.829594201240327,999.999999999998,5223.91581449146,36380.3592312712,-999.8,-0.199999999999994,constant,waves,displacement,5,10
367,0.829594201318884,999.999999999998,5223.91581449282,36380.3592304264,-999.800000016925,-0.199999979916358,constant,waves,displacement,5,10
407,0.829594201363043,999.999999999999,5223.91581449366,36380.3592298947,-999.800000030288,-0.199999957721383,constant,waves,displacement,5,10
447,0.829594201377499,1000,5223.91581449399,36380.3592297057,-999.800000040101,-0.19999993379465,constant,waves,displacement,5,10
487,0.829594201364672,999.999999999999,5223.91581449373,36380.3592298717,-999.800000046278,-0.199999908958243,constant,waves,displacement,5,10
327,0.829594201240327,999.999999999998,5223.91581449146,36380.3592312712,-999.8,-0.199999999999994,constant,waves,displacement,5,5
367,0.829594201318149,999.999999999998,5223.91581449282,36380.3592304264,-999.800000016925,-0.199999979916358,constant,waves,displacement,5,5
407,0.829594201362929,999.999999999999,5223.91581449365,36380.3592298946,-999.800000030288,-0.199999957721383,constant,waves,displacement,5,5
447,0.829594201377999,1000,5223.91581449399,36380.3592297056,-999.800000040101,-0.19999993379465,constant,waves,displacement,5,5
487,0.82959420136483,999.999999999998,5223.91581449372,36380.3592298717,-999.800000046278,-0.199999908958243,constant,waves,displacement,5,5
