deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
10,160,64,0,0.309206208333333,0.0144109583333333,0.020303625,0.344985,2.64197241345006e-11,8.00698391294838e-11,1.85556172239827e-10,1.06638253398782e-11,8.00698391294838e-11,1.61751077722067e-13,1.17342104316805e-06,-1.35899871881611e-16,1.13686837721616e-13,-6.36191543890163e-10,-3.25962901115417e-09,-999.99979999448,-0.000200006363497559,exponential,linear,density,2,13.063453875
5,160,128,0,0.614623208333333,0.0142895833333333,0.0203216666666667,0.650311875,2.6419956163474e-11,8.00698391294838e-11,1.85557722345627e-10,1.06638253398782e-11,8.00698391294838e-11,1.61751077722067e-13,1.17342104316805e-06,-1.35900718914559e-16,1.13686837721616e-13,-6.37101038591936e-10,-3.26144800055772e-09,-999.99979999448,-0.000200006363497559,exponential,linear,density,2,13.063453875
20,160,32,0,0.2004005,0.01937975,0.0295965,0.25049275,4.85262507731755e-12,1.10473209653188e-12,3.71218306365358e-11,3.36000745020158e-19,7.34188005352795e-13,4.72339353961809e-20,1.17342119273898e-06,-1.3560552793244e-16,-4.54747350886464e-13,-6.38920027995482e-10,-3.21051629725844e-09,-999.999800000063,-0.000199999916354058,exponential,linear,displacement,3,13.283613125
10,160,64,0,0.400800958333333,0.0195089583333333,0.02930675,0.450737208333333,4.85206162726022e-12,1.10467659058239e-12,3.71137235644187e-11,3.36000745020158e-19,7.34188005352795e-13,4.72339353961809e-20,1.17342119273898e-06,-1.35605104415967e-16,-4.54747350886464e-13,-6.38920027995482e-10,-3.21051629725844e-09,-999.999800000063,-0.000199999916354064,exponential,linear,displacement,3,13.283613125
5,160,128,0,0.799577,0.0196727083333333,0.0291581666666667,0.849406833333333,4.8521279233938e-12,1.10463757386172e-12,3.71141299605094e-11,3.36000745020158e-19,7.34188005352795e-13,4.72339353961809e-20,1.17342119273898e-06,-1.35607857273045e-16,-4.54747350886464e-13,-6.38920027995482e-10,-3.20869730785489e-09,-999.999800000063,-0.000199999916354064,exponential,linear,displacement,3,13.283613125
20,160,32,0,0.206003833333333,0.0202934583333333,0.0297398333333333,0.25713275,1.17062569421707e-11,8.00994916674626e-11,3.71900162637576e-11,1.0663825339761e-11,8.00994916674626e-11,1.61751079776848e-13,1.17342120174413e-06,-1.3589796605748e-16,-3.41060513164848e-13,-6.45286490907893e-10,-3.25962901115417e-09,-999.99979999448,-0.000200006363497651,exponential,linear,density,3,13.28731025
10,160,64,0,0.414887125,0.020655125,0.0300600833333333,0.46667525,1.17060237519606e-11,8.00994916674626e-11,3.71819388903668e-11,1.0663825339761e-11,8.00994916674626e-11,1.61751079776848e-13,1.17342120174413e-06,-1.35896695508059e-16,-3.41060513164848e-13,-6.45741238258779e-10,-3.25781002175063e-09,-999.99979999448,-0.000200006363497656,exponential,linear,density,3,13.28731025
5,160,128,0,0.820613583333333,0.0201480833333333,0.0302854166666667,0.872122416666667,1.17060512515429e-11,8.00994916674626e-11,3.71823455231156e-11,1.0663825339761e-11,8.00994916674626e-11,1.61751079776848e-13,1.17342120174413e-06,-1.35898813090427e-16,-3.41060513164848e-13,-6.45286490907893e-10,-3.25962901115417e-09,-999.99979999448,-0.000200006363497656,exponential,linear,density,3,13.28731025
20,160,32,0,0.206935791666667,0.0204590416666667,0.030112625,0.258622916666667,4.83687204459145e-12,7.36180647073089e-13,3.71100027341151e-11,3.3763146628277e-19,7.34188005352795e-13,4.72339353961809e-20,1.17342119273898e-06,3.0277192699605e-18,-4.54747350886464e-13,2.27373675443232e-12,5.45696821063757e-12,-999.9998,-0.000199999998805796,exponential,linear,displacement,4,13.288240625
10,160,64,0,0.408196,0.0203398333333333,0.02956325,0.459176708333333,4.8363067736808e-12,7.3620780687622e-13,3.71018979409481e-11,3.3763146628277e-19,7.34188005352795e-13,4.72339353961809e-20,1.17342119273898e-06,3.02708399525006e-18,-4.54747350886464e-13,1.81898940354586e-12,5.45696821063757e-12,-999.9998,-0.000199999998805796,exponential,linear,displacement,4,13.288240625
5,160,128,0,0.821776666666667,0.0202987083333333,0.0299134583333333,0.873207125,4.83637328142955e-12,7.36318246421363e-13,3.71023043804509e-11,3.3763146628277e-19,7.34188005352795e-13,4.72339353961809e-20,1.17342119273898e-06,3.02750751172368e-18,-4.54747350886464e-13,1.81898940354586e-12,5.45696821063757e-12,-999.9998,-0.000199999998805796,exponential,linear,displacement,4,13.288240625
20,160,32,0,0.211539833333333,0.0208290833333333,0.0307965,0.264217166666667,5.01487716745528e-12,1.52838574847493e-11,3.71204941116998e-11,1.32431588826357e-12,1.52838574847493e-11,2.00519095693945e-14,1.17342119153679e-06,3.03110740174951e-18,-4.54747350886464e-13,8.64019966684282e-12,2.91038304567337e-11,-999.999800000389,-0.000199999488118206,exponential,linear,density,4,13.288302375
10,160,64,0,0.423084375,0.021011625,0.0305734583333333,0.475772958333333,5.01433290460446e-12,1.52838574847493e-11,3.71124106709998e-11,1.32431588826357e-12,1.52838574847493e-11,2.00519095693945e-14,1.17342119153679e-06,3.03195443469677e-18,-4.54747350886464e-13,8.18545231595635e-12,2.91038304567337e-11,-999.999800000389,-0.000199999488118206,exponential,linear,density,4,13.288302375
5,160,128,0,0.845249625,0.0207197083333333,0.0301663333333333,0.897201208333333,5.01439711164129e-12,1.52838574847493e-11,3.7112818210712e-11,1.32431588826357e-12,1.52838574847493e-11,2.00519095693945e-14,1.17342119153679e-06,3.03216619293358e-18,-4.54747350886464e-13,8.18545231595635e-12,2.91038304567337e-11,-999.999800000389,-0.000199999488118206,exponential,linear,density,4,13.288302375
20,160,32,0,0.608268,0.0627369583333333,0.0791787083333333,0.751360375,4.22901740874143e-15,2.39598730427286e-14,4.04138855061569e-14,0,0,0,1.1734212323467e-06,2.3928680759934e-19,-2.27373675443232e-13,2.18278728425503e-11,-8.73114913702011e-11,-999.9998,-0.000199999999684103,exponential,linear,displacement,5,28.82312025
10,160,64,0,1.2123855,0.0623816666666667,0.0798329166666667,1.35575270833333,7.53075772070915e-16,1.19241723558153e-14,7.84796513635608e-15,0,0,0,1.1734212323467e-06,2.42463181151543e-19,-2.27373675443232e-13,2.18278728425503e-11,-8.54925019666553e-11,-999.9998,-0.000199999999684103,exponential,linear,displacement,5,28.82312025
5,160,128,0,2.43902225,0.0626737916666667,0.0792135416666667,2.58196041666667,2.55855628122775e-16,3.39891207118676e-15,2.38502339293513e-15,0,0,0,1.1734212323467e-06,2.36533950520763e-19,-2.27373675443232e-13,2.18278728425503e-11,-8.54925019666553e-11,-999.9998,-0.000199999999684103,exponential,linear,displacement,5,28.82312025
20,160,32,0,0.63191425,0.0652717916666667,0.0823890833333333,0.780635458333333,5.06674819653342e-13,9.54627094828473e-13,4.07955713253689e-14,5.06674819653342e-13,9.50936858807042e-13,6.11589236719766e-15,1.17342123233632e-06,2.42039664677916e-19,-2.27373675443232e-13,1.72803993336856e-11,-8.73114913702011e-11,-999.999800000014,-0.000199999984295709,exponential,linear,density,5,28.8231568333333
10,160,64,0,1.276566875,0.0653168333333333,0.0814839583333333,1.42438575,5.06674819653342e-13,9.54660606618665e-13,9.85119256758177e-15,5.06674819653342e-13,9.50936858807042e-13,6.11589236719766e-15,1.17342123233632e-06,2.39922082309781e-19,-2.27373675443232e-13,1.72803993336856e-11,-8.73114913702011e-11,-999.999800000014,-0.000199999984295709,exponential,linear,density,5,28.8231568333333
5,160,128,0,2.50874516666667,0.0650349166666667,0.0810767916666667,2.65610445833333,5.06674819653342e-13,9.54662468350294e-13,6.38093017268521e-15,5.06674819653342e-13,9.50936858807042e-13,6.11589236719766e-15,1.17342123233632e-06,2.37804499941645e-19,-2.27373675443232e-13,1.72803993336856e-11,-8.73114913702011e-11,-999.999800000014,-0.000199999984295709,exponential,linear,density,5,28.8231568333333
