deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
20,160,32,0,0.201231583333333,0.0196960416666667,0.0297942083333333,0.251762416666667,3.89136814029022e-07,8.67820451224571e-07,6.32420014995689e-08,3.37516548567506e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,3.68823396268425e-08,0,-0.000637575870769069,-0.0032120988053066,-999.800062971839,-0.199916367678755,exponential,waves,displacement,3,13.2833820833333
10,160,64,0,0.399572291666667,0.02013475,0.0295239166666667,0.450317083333333,3.89136770502272e-07,8.67820450720118e-07,6.31200438447388e-08,3.37516548567506e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,3.68821193585944e-08,9.09494701772928e-13,-0.000637575864857354,-0.00321209884168638,-999.800062971835,-0.199916367684269,exponential,waves,displacement,3,13.2833820833333
5,160,128,0,0.801016166666667,0.0199032916666667,0.02959475,0.851612541666667,3.8913676936412e-07,8.6782045127071e-07,6.31135396092261e-08,3.37516548567506e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,3.68821144736131e-08,1.81898940354586e-12,-0.000637575864402606,-0.00321209882349649,-999.800062971834,-0.199916367684613,exponential,waves,displacement,3,13.2833820833333
20,160,32,0,0.206947291666667,0.0199981666666667,0.0293501666666667,0.257341625,1.06650559743142e-05,8.00670436020851e-05,1.61406048056815e-07,1.06650559743142e-05,8.00670436020851e-05,1.61406048056815e-07,1.17346481899923,-2.25324610081401e-07,-1.47792889038101e-12,-0.000637695667592197,-0.00321298670678516,-999.794481020931,-0.206365212958216,exponential,waves,density,3,13.2835040416667
10,160,64,0,0.411042916666667,0.0199671666666667,0.030027125,0.462163208333333,1.06650559743142e-05,8.00670436020851e-05,1.61406048056815e-07,1.06650559743142e-05,8.00670436020851e-05,1.61406048056815e-07,1.17346481899923,-2.25324860547715e-07,-6.82121026329696e-13,-0.000637695665773208,-0.00321298673225101,-999.794481020926,-0.206365212963454,exponential,waves,density,3,13.2835040416667
5,160,128,0,0.819089916666667,0.020533125,0.029612125,0.870346375,1.06650559743142e-05,8.00670436020851e-05,1.61406048056815e-07,1.06650559743142e-05,8.00670436020851e-05,1.61406048056815e-07,1.17346481899923,-2.25324867653143e-07,0,-0.000637695666682703,-0.00321298673588899,-999.794481020926,-0.206365212963782,exponential,waves,density,3,13.2835040416667
20,160,32,0,0.20480875,0.0204495833333333,0.029719875,0.256093333333333,2.24556716174075e-08,3.38799775305605e-08,6.05498734708188e-08,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,3.32986260787038e-09,-6.82121026329696e-13,1.72137197296252e-06,7.30928150005639e-07,-999.800000203521,-0.19999880575554,exponential,waves,displacement,4,13.2880978333333
10,160,64,0,0.411448083333333,0.020193,0.030072375,0.462748208333333,2.24547898375821e-08,3.38799764297445e-08,6.04451134309605e-08,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,3.3296425616669e-09,4.54747350886464e-13,1.72132877196418e-06,7.30658939573914e-07,-999.800000203521,-0.199998805755572,exponential,waves,displacement,4,13.2880978333333
5,160,128,0,0.818072291666667,0.0202499583333333,0.0293994583333333,0.868859916666667,2.24547611253287e-08,3.38799778735699e-08,6.04394952331957e-08,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,3.32963678850717e-09,-4.54747350886464e-13,1.72132513398537e-06,7.30642568669282e-07,-999.800000203521,-0.199998805755575,exponential,waves,displacement,4,13.2880978333333
20,160,32,0,0.211220125,0.0205454583333333,0.0297344583333333,0.2626185,1.32402680148679e-06,1.52703199956155e-05,5.14911495014609e-08,1.32391809312498e-06,1.52703199956155e-05,2.00380678455574e-08,1.17344985185056,2.82527223838258e-09,1.47792889038101e-12,1.72963245859137e-06,7.55944711272605e-07,-999.800388588077,-0.199487983608294,exponential,waves,density,4,13.288046375
10,160,64,0,0.420040958333333,0.02057,0.0299187083333333,0.471688041666667,1.32402676722518e-06,1.52703199956155e-05,5.1464567310338e-08,1.32391809312498e-06,1.52703199956155e-05,2.00380678455574e-08,1.17344985185056,2.82500933757035e-09,5.6843418860808e-13,1.72959107658244e-06,7.55715518607758e-07,-999.800388588077,-0.199487983608326,exponential,waves,density,4,13.288046375
5,160,128,0,0.841290458333333,0.020672875,0.0303247916666667,0.893364291666667,1.32402676545139e-06,1.52703199956155e-05,5.14640332245575e-08,1.32391809312498e-06,1.52703199956155e-05,2.00380678455574e-08,1.17344985185056,2.82500378645523e-09,1.02318153949454e-12,1.72958789335098e-06,7.55682776798494e-07,-999.800388588077,-0.199487983608328,exponential,waves,density,4,13.288046375
20,160,32,0,0.607686458333333,0.0626368333333333,0.0795000833333333,0.75092825,4.05448491033671e-11,3.51712554713269e-13,4.46282612827229e-10,0,0,0,1.1734508710396,3.36111583010279e-10,1.70530256582424e-12,8.6482941696886e-08,-2.02750015887432e-07,-999.800000037683,-0.199999683797487,exponential,waves,displacement,5,28.822891875
10,160,64,0,1.21690629166667,0.0627458333333333,0.0799328333333333,1.36067729166667,6.99947727427218e-12,1.93370685809026e-13,6.78846910374784e-11,0,0,0,1.1734508710396,3.36840333403643e-10,2.27373675443232e-12,8.64492903929204e-08,-2.02977389562875e-07,-999.800000037683,-0.199999683797497,exponential,waves,displacement,5,28.822891875
5,160,128,0,2.42502158333333,0.0617614583333333,0.0794247916666667,2.56721583333333,1.73668369842261e-12,9.89014677370764e-14,1.92921131782467e-11,0,0,0,1.1734508710396,3.36635830322507e-10,2.95585778076202e-12,8.64442881720606e-08,-2.03002855414525e-07,-999.800000037683,-0.199999683797498,exponential,waves,displacement,5,28.822891875
20,160,32,0,0.62766,0.0656926666666667,0.082337,0.77668525,5.06685983572697e-07,8.43962898131689e-07,1.4002778762344e-08,5.06685983572697e-07,8.43945617347577e-07,6.11201515307451e-09,1.17345086097651,1.48730583404699e-10,1.93267624126747e-12,8.67503331392072e-08,-2.02511728275567e-07,-999.800013691007,-0.199984290897108,exponential,waves,density,5,28.8234702916667
10,160,64,0,1.253474375,0.0630337083333333,0.0807348333333333,1.39828708333333,5.06685983572697e-07,8.43962897752659e-07,1.41230975681637e-08,5.06685983572697e-07,8.43945617347577e-07,6.11201515307451e-09,1.17345086097651,1.49418699635362e-10,9.09494701772928e-13,8.6711224867031e-08,-2.02777300728485e-07,-999.800013691007,-0.199984290897118,exponential,waves,density,5,28.8234702916667
5,160,128,0,2.49832220833333,0.065023875,0.0815445,2.64597158333333,5.06685983572697e-07,8.43962899326515e-07,1.41307995807269e-08,5.06685983572697e-07,8.43945617347577e-07,6.11201515307451e-09,1.17345086097651,1.49214640643436e-10,1.70530256582424e-12,8.67084963829257e-08,-2.02780938707292e-07,-999.800013691007,-0.199984290897119,exponential,waves,density,5,28.8234702916667
20,160,32,0,0.144492708333333,0.024656125,0.03812475,0.211819791666667,1.69492376260274e-08,1.36003762271918e-10,1.23835039736964e-07,3.31167679118137e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.27722515791606e-10,1.13686837721616e-12,8.64920366439037e-08,-2.02728188014589e-07,-999.800000035995,-0.199999742186093,exponential,waves,displacement,6,4.2738045
10,160,64,0,0.254054041666667,0.0257665,0.052184,0.335791708333333,1.69500307070799e-08,1.35993860794141e-10,1.23943156363895e-07,3.31167679118137e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.2747604628014e-10,5.6843418860808e-13,8.64511093823239e-08,-2.02961018658243e-07,-999.800000035995,-0.199999742186102,exponential,waves,displacement,6,4.2738045
5,160,128,0,0.392586833333333,0.0160059583333333,0.0214731666666667,0.433813291666667,1.69505581676879e-08,1.35999653932247e-10,1.23947696521988e-07,3.31167679118137e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.27572413638677e-10,9.09494701772928e-13,8.64501998876221e-08,-2.02973751584068e-07,-999.800000035995,-0.199999742186102,exponential,waves,displacement,6,4.2738045
20,160,32,0,0.134711,0.0179180416666667,0.0277862916666667,0.183725583333333,5.06951494748544e-07,8.43962916140653e-07,1.2921828817317e-07,5.06692477302649e-07,8.43945625520065e-07,6.11193044197847e-09,1.17345069123155,1.40355060906927e-10,-1.13686837721616e-13,8.67562448547687e-08,-2.0250809029676e-07,-999.800013664635,-0.199984318103495,exponential,waves,density,6,4.26817608333333
10,160,64,0,0.190867166666667,0.0129569166666667,0.0200914583333333,0.226161291666667,5.0695154825292e-07,8.43962919839319e-07,1.29352191118158e-07,5.06692477302649e-07,8.43945625520065e-07,6.11193044197847e-09,1.17345069123155,1.40067069054339e-10,1.13686837721616e-13,8.67130438564345e-08,-2.02777300728485e-07,-999.800013664635,-0.199984318103503,exponential,waves,density,6,4.26817608333333
5,160,128,0,0.371612125,0.012836875,0.0184005,0.405103291666667,5.06951567596991e-07,8.43962924649374e-07,1.29358334745297e-07,5.06692477302649e-07,8.43945625520065e-07,6.11193044197847e-09,1.17345069123155,1.40161660056037e-10,2.27373675443232e-13,8.67116796143819e-08,-2.02797309611924e-07,-999.800013664635,-0.199984318103504,exponential,waves,density,6,4.26817608333333
20,160,32,0,0.120861208333333,0.0146078333333333,0.0236175833333333,0.16138625,5.31666112385109e-09,1.35993380815849e-10,5.78416132686264e-08,3.31072299970146e-14,1.26077724613917e-10,4.86891366586258e-17,1.17345085991911,3.29342331184534e-10,-5.6843418860808e-13,8.64893081597984e-08,-2.02720912056975e-07,-999.800000035995,-0.199999742186013,exponential,waves,displacement,7,4.49316954166667
10,160,64,0,0.2280245,0.0127174166666667,0.0212612083333333,0.264258791666667,5.31274504060966e-09,1.35982489786264e-10,5.77447048700741e-08,3.31072299970146e-14,1.26077724613917e-10,4.86891366586258e-17,1.17345085991911,3.2911939840119e-10,-1.13686837721616e-12,8.64474714035168e-08,-2.0296465663705e-07,-999.800000035995,-0.199999742186022,exponential,waves,displacement,7,4.49316954166667
5,160,128,0,0.506345875,0.0143036666666667,0.0242712083333333,0.54739975,5.31266915722075e-09,1.35983147652257e-10,5.77392120119205e-08,3.31072299970146e-14,1.26077724613917e-10,4.86891366586258e-17,1.17345085991911,3.29136939924979e-10,-5.6843418860808e-13,8.64420144353062e-08,-2.02981027541682e-07,-999.800000035995,-0.199999742186023,exponential,waves,displacement,7,4.49316954166667
