deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
20,160,32,0,0.60635175,0.0617752083333333,0.0807485416666667,0.749935708333333,4.05478491077869e-11,3.52106494716241e-13,4.46422437740543e-10,0,0,0,1.17546575308498,4.09354106167825e-10,3.86535248253495e-12,1.41936197906034e-07,-1.0302392183803e-07,-999.809999601953,-0.180072884152549,exponential,mixed,displacement,5,28.822822125
10,160,64,0,1.215016125,0.0630756666666667,0.0791524166666667,1.358374,6.99644599834743e-12,1.78439771153317e-13,6.78445405778472e-11,0,0,0,1.17546575308498,4.10061762323721e-10,-6.82121026329696e-13,1.41894361149753e-07,-1.03300408227369e-07,-999.809999601953,-0.180072884152549,exponential,mixed,displacement,5,28.822822125
5,160,128,0,2.42306483333333,0.0631309583333333,0.0816687916666667,2.56891708333333,1.73903731890303e-12,9.86315396471067e-14,1.92938636293341e-11,0,0,0,1.17546575308498,4.09859035599425e-10,1.36424205265939e-12,1.41892542160349e-07,-1.03304046206176e-07,-999.809999601953,-0.180072884152549,exponential,mixed,displacement,5,28.822822125
20,160,32,0,0.6356865,0.0653610833333333,0.080989625,0.783202875,5.09431236180291e-07,8.49014470003874e-07,1.40152495672708e-08,5.09431236180291e-07,8.49014470003874e-07,6.17431687019651e-09,1.17546574254166,2.34858354986045e-10,-2.50111042987555e-12,1.47139871842228e-07,-1.0633266356308e-07,-999.810013221179,-0.180057259924187,exponential,mixed,density,5,28.8229666666667
10,160,64,0,1.26672083333333,0.066377,0.0825509583333333,1.41666058333333,5.09431236180291e-07,8.49014470003874e-07,1.41359112130409e-08,5.09431236180291e-07,8.49014470003874e-07,6.17431687019651e-09,1.17546574254166,2.35518271551882e-10,-3.41060513164848e-12,1.47095761349192e-07,-1.06521838461049e-07,-999.810013221179,-0.180057259924187,exponential,mixed,density,5,28.8229666666667
5,160,128,0,2.51088533333333,0.0655235416666667,0.0817765833333333,2.65937420833333,5.09431236180291e-07,8.49014470003874e-07,1.41436425714676e-08,5.09431236180291e-07,8.49014470003874e-07,6.17431687019651e-09,1.17546574254166,2.35314434604561e-10,-2.61479726759717e-12,1.47098035085946e-07,-1.06552761280909e-07,-999.810013221179,-0.180057259924187,exponential,mixed,density,5,28.8229666666667
20,160,32,0,0.0819990416666667,0.009709625,0.0151006666666667,0.107987375,1.69487722181227e-08,1.35885224888368e-10,1.23829410717742e-07,3.31149441993414e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.00947941514573e-10,-6.82121026329696e-13,1.41933014674578e-07,-1.03085767477751e-07,-999.809635581854,-0.180072884152549,exponential,mixed,displacement,6,4.248292875
10,160,64,0,0.163545416666667,0.0111962916666667,0.0150034166666667,0.1909645,1.69493596644301e-08,1.35879132296492e-10,1.23936870890087e-07,3.31149441993414e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.00703692449156e-10,-4.54747350886464e-13,1.41890723170945e-07,-1.03333150036633e-07,-999.809635581854,-0.180072884152549,exponential,mixed,displacement,6,4.248292875
5,160,128,0,0.321440916666667,0.00977941666666667,0.0148204166666667,0.347195958333333,1.69498789355162e-08,1.35878214924745e-10,1.23941384985866e-07,3.31149441993414e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.00802946387557e-10,-1.13686837721616e-13,1.41885720950086e-07,-1.03360434877686e-07,-999.809635581854,-0.180072884152549,exponential,mixed,displacement,6,4.248292875
20,160,32,0,0.0839025416666667,0.00942545833333333,0.014999875,0.109416416666667,5.0969467359015e-07,8.49014478334277e-07,1.29250826618246e-07,5.09437785403972e-07,8.49014478334277e-07,6.17423187473405e-09,1.17546557282044,2.26453522600423e-10,-1.13686837721616e-13,1.47142600326333e-07,-1.06278093880974e-07,-999.809649146867,-0.180057259924188,exponential,mixed,density,6,4.24801670833333
10,160,64,0,0.16717975,0.00999575,0.0148617916666667,0.193147875,5.09694719432074e-07,8.49014478334277e-07,1.29384069453127e-07,5.09437785403972e-07,8.49014478334277e-07,6.17423187473405e-09,1.17546557282044,2.26168861416909e-10,-5.6843418860808e-13,1.47095761349192e-07,-1.06534571386874e-07,-999.809649146867,-0.180057259924188,exponential,mixed,density,6,4.24801670833333
5,160,128,0,0.329272833333333,0.009355625,0.014808625,0.354657125,5.09694738365399e-07,8.49014478334277e-07,1.29390186580717e-07,5.09437785403972e-07,8.49014478334277e-07,6.17423187473405e-09,1.17546557282044,2.26264784686236e-10,-3.41060513164848e-13,1.47092123370385e-07,-1.06547304312699e-07,-999.809649146867,-0.180057259924188,exponential,mixed,density,6,4.24801670833333
20,160,32,0,0.103843791666667,0.01091525,0.0181082083333333,0.134073708333333,5.31604751431439e-09,1.35869513589179e-10,5.78342028923543e-08,3.31053435109623e-14,1.25991619150781e-10,6.66165321400803e-17,1.17546574196234,4.02572419844205e-10,-1.13686837721616e-13,1.41932559927227e-07,-1.03085767477751e-07,-999.809635581854,-0.180072884152549,exponential,mixed,displacement,7,4.48743183333333
10,160,64,0,0.211774708333333,0.014616375,0.021129,0.24892825,5.31220275948186e-09,1.35874126438817e-10,5.77374468421909e-08,3.31053435109623e-14,1.25991619150781e-10,6.66165321400803e-17,1.17546574196234,4.02352373640724e-10,-2.27373675443232e-13,1.41893451655051e-07,-1.0331132216379e-07,-999.809635581854,-0.180072884152549,exponential,mixed,displacement,7,4.48743183333333
5,160,128,0,0.412017583333333,0.0120252916666667,0.0209627916666667,0.446488583333333,5.3121312125497e-09,1.35874081248391e-10,5.77319620337594e-08,3.31053435109623e-14,1.25991619150781e-10,6.66165321400803e-17,1.17546574196234,4.02369915164513e-10,-1.02318153949454e-12,1.41888449434191e-07,-1.03324055089615e-07,-999.809635581854,-0.180072884152549,exponential,mixed,displacement,7,4.48743183333333
20,160,32,0,0.110080333333333,0.0117556666666667,0.0191871666666667,0.142087916666667,5.09432331846203e-07,8.49014486462281e-07,5.06539389149599e-08,5.0943123617121e-07,8.49014486462281e-07,6.17431687329249e-09,1.17546573141903,2.28068230967438e-10,-9.09494701772928e-13,1.4713577911607e-07,-1.06294464785606e-07,-999.809649146867,-0.180057259924189,exponential,mixed,density,7,4.48800079166667
10,160,64,0,0.216849333333333,0.0115695,0.0192317083333333,0.248914041666667,5.09432308350526e-07,8.49014486462281e-07,5.05618063540652e-08,5.0943123617121e-07,8.49014486462281e-07,6.17431687329249e-09,1.17546573141903,2.27806218333626e-10,-6.82121026329696e-13,1.47092123370385e-07,-1.06538209365681e-07,-999.809649146867,-0.180057259924189,exponential,mixed,density,7,4.48800079166667
5,160,128,0,0.431734958333333,0.0116164583333333,0.0193784166666667,0.464199125,5.09432306723851e-07,8.49014486462281e-07,5.05566351419009e-08,5.0943123617121e-07,8.49014486462281e-07,6.17431687329249e-09,1.17546573141903,2.27821983500576e-10,-3.41060513164848e-13,1.47090304380981e-07,-1.06550942291506e-07,-999.809649146867,-0.180057259924189,exponential,mixed,density,7,4.48800079166667
20,160,32,0,0.213604,0.0223925833333333,0.0312325,0.268383125,5.62141551529428e-09,1.73355844967201e-12,6.1219315968538e-08,3.38076735339625e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,4.02597066795352e-10,-1.59161572810262e-12,1.41934378916631e-07,-1.03083948488347e-07,-999.809926245297,-0.180072884152549,exponential,mixed,displacement,8,13.5004476666667
