deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
10,160,64,0,0.294154708333333,0.013939,0.0196333333333333,0.3287895,8.69100358933373e-08,8.11265573882929e-07,2.31537100511454e-07,8.34563528070603e-14,6.87340883403853e-13,2.56781741598785e-15,0.831612988991847,5.54942748420828e-08,-1.13686837721616e-13,-0.00062682692805538,-0.00551185156655265,-999.809961697594,-0.180040396883547,constant,mixed,density,2,14.0712013333333
5,160,128,0,0.585196333333333,0.0143484583333333,0.0196144166666667,0.620174375,8.69102365862538e-08,8.11265573326215e-07,2.31546632471454e-07,8.34563528070603e-14,6.87340883403853e-13,2.56781741598785e-15,0.831612988991847,5.54942948260972e-08,-6.82121026329696e-13,-0.000626826929874369,-0.00551185158110457,-999.809961697594,-0.180040396883688,constant,mixed,density,2,14.0712013333333
20,160,32,0,0.186030333333333,0.0185895,0.0279414583333333,0.233660333333333,8.19907006639734e-08,8.11265634230622e-07,7.43155175782896e-08,6.23789266596803e-17,6.94623979884002e-13,4.30194263210959e-17,0.831613216308449,5.54965832177956e-08,1.13686837721616e-13,-0.000626824619757826,-0.00551183136849431,-999.809961697531,-0.18004039694162,constant,mixed,displacement,3,13.3559763333333
10,160,64,0,0.36814875,0.0188844583333333,0.0277677916666667,0.415945875,8.19905221056036e-08,8.11265637476544e-07,7.4270813571513e-08,6.23789266596803e-17,6.94623979884002e-13,4.30194263210959e-17,0.831613216308449,5.54964241228362e-08,-1.36424205265939e-12,-0.000626824626124289,-0.00551183146308176,-999.809961697529,-0.180040396943884,constant,mixed,displacement,3,13.3559763333333
5,160,128,0,0.740994708333333,0.018357,0.0289665416666667,0.789344791666667,8.1990526430929e-08,8.11265637213569e-07,7.42688962251265e-08,6.23789266596803e-17,6.94623979884002e-13,4.30194263210959e-17,0.831613216308449,5.54964245669254e-08,-1.81898940354586e-12,-0.000626824627943279,-0.00551183146308176,-999.809961697529,-0.180040396944026,constant,mixed,displacement,3,13.3559763333333
20,160,32,0,0.188505083333333,0.018544875,0.028201625,0.236208875,8.1990700665481e-08,8.11265632105006e-07,7.43155177007965e-08,8.3457063337207e-14,6.94658521265334e-13,2.56593674561746e-15,0.831613216308402,5.54965823296172e-08,1.13686837721616e-13,-0.000626824620667321,-0.00551183139032219,-999.809961697531,-0.180040396941625,constant,mixed,density,3,13.356120625
10,160,64,0,0.379342333333333,0.018961875,0.0287569166666667,0.428150166666667,8.19905221071387e-08,8.11265637161313e-07,7.42708136864865e-08,8.3457063337207e-14,6.94658521265334e-13,2.56593674561746e-15,0.831613216308402,5.5496422235457e-08,-1.36424205265939e-12,-0.000626824625214795,-0.00551183147035772,-999.809961697529,-0.180040396943889,constant,mixed,density,3,13.356120625
5,160,128,0,0.752192791666666,0.01874275,0.028288875,0.800291666666667,8.19905264325403e-08,8.11265637508232e-07,7.42688963451174e-08,8.3457063337207e-14,6.94658521265334e-13,2.56593674561746e-15,0.831613216308402,5.54964220134124e-08,-1.81898940354586e-12,-0.000626824627943279,-0.00551183147763368,-999.809961697529,-0.180040396944031,constant,mixed,density,3,13.356120625
20,160,32,0,0.191124583333333,0.01908,0.0291870416666667,0.24040775,1.3647489845488e-08,1.59834749995558e-08,7.41680723940546e-08,6.23789266596803e-17,6.94623979884002e-13,4.30194263210959e-17,0.831613216308449,3.82243348084899e-09,-1.13686837721616e-13,1.47622631629929e-06,-6.43387465970591e-06,-999.809926384733,-0.180072884152549,constant,mixed,displacement,4,13.243590625
10,160,64,0,0.382786708333333,0.0190220833333333,0.02896175,0.431862416666667,1.36462697244275e-08,1.59834711810361e-08,7.41274765704479e-08,6.23789266596803e-17,6.94623979884002e-13,4.30194263210959e-17,0.831613216308449,3.8222764953133e-09,5.6843418860808e-13,1.47618538903771e-06,-6.43429666524753e-06,-999.809926384733,-0.180072884152549,constant,mixed,displacement,4,13.243590625
5,160,128,0,0.7683525,0.0192217083333333,0.0287596666666667,0.817437125,1.36462854470509e-08,1.59834728618824e-08,7.41257464945849e-08,6.23789266596803e-17,6.94623979884002e-13,4.30194263210959e-17,0.831613216308449,3.82227560713488e-09,-1.13686837721616e-13,1.4761799320695e-06,-6.43436942482367e-06,-999.809926384733,-0.180072884152549,constant,mixed,displacement,4,13.243590625
20,160,32,0,0.193917875,0.01950475,0.02934825,0.243854083333333,1.36474900788724e-08,1.59834735713969e-08,7.41680725208155e-08,2.73964598630892e-13,6.9535729557028e-13,2.68725709523651e-15,0.8316132163084,3.82243214858136e-09,-1.13686837721616e-13,1.47622722579399e-06,-6.43387465970591e-06,-999.809926384733,-0.180072884152552,constant,mixed,density,4,13.2436938333333
