time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
327,1.1734210341629e-06,999.999999999999,3324.88136819061,13336.6625431039,-999.9998,-0.000199999999999996,exponential,linear,displacement,2,5
367,1.17342103407979e-06,1000,3324.88136819022,13336.6625431019,-999.999800000034,-0.000199999956453152,exponential,linear,displacement,2,5
407,1.17342103402779e-06,1000,3324.88136818998,13336.6625431007,-999.999800000055,-0.000199999928058968,exponential,linear,displacement,2,5
447,1.17342103400994e-06,1000,3324.8813681899,13336.6625431003,-999.999800000063,-0.000199999916353968,exponential,linear,displacement,2,5
487,1.17342103402729e-06,999.999999999999,3324.88136818998,13336.6625431007,-999.999800000057,-0.000199999921910425,exponential,linear,displacement,2,5
327,1.17342104316805e-06,999.999999999999,3324.88136825474,13336.6625434425,-999.999799994416,-0.000200006439716109,exponential,linear,density,2,20
367,1.17342104308477e-06,1000,3324.88136825436,13336.6625434405,-999.99979999445,-0.000200006398477217,exponential,linear,density,2,20
407,1.17342104303265e-06,999.999999999999,3324.88136825411,13336.6625434393,-999.999799994472,-0.00020000637259782,exponential,linear,density,2,20
447,1.17342104301477e-06,1000,3324.88136825402,13336.6625434389,-999.99979999448,-0.000200006363497553,exponential,linear,density,2,20
487,1.17342104303215e-06,999.999999999999,3324.88136825411,13336.6625434392,-999.999799994474,-0.000200006371668635,exponential,linear,density,2,20
327,1.17342104316805e-06,999.999999999999,3324.88136825474,13336.6625434425,-999.999799994416,-0.000200006439716109,exponential,linear,density,2,10
367,1.17342104308477e-06,1000,3324.88136825436,13336.6625434405,-999.99979999445,-0.00020000639847722,exponential,linear,density,2,10
407,1.17342104303265e-06,999.999999999999,3324.88136825411,13336.6625434393,-999.999799994472,-0.000200006372597825,exponential,linear,density,2,10
447,1.17342104301476e-06,1000,3324.88136825402,13336.6625434389,-999.99979999448,-0.000200006363497559,exponential,linear,density,2,10
487,1.17342104303215e-06,999.999999999999,3324.88136825411,13336.6625434392,-999.999799994474,-0.00020000637166864,exponential,linear,density,2,10
