deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
10,160,64,0,0.317777333333333,0.0168505416666667,0.0215706666666667,0.358587291666667,3.46416691773862e-11,1.03543904421475e-12,2.65749125419177e-10,8.34605222499179e-17,6.85477878102049e-13,2.61212787326102e-18,8.29592915550153e-07,4.8351393486354e-17,-3.41060513164848e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712181,constant,linear,density,2,14.07251225
5,160,128,0,0.635328166666667,0.015120875,0.0210200833333333,0.673587958333333,3.46420598680031e-11,1.03655802196211e-12,2.65751618984174e-10,8.34605222499179e-17,6.85477878102049e-13,2.61212787326102e-18,8.29592915550153e-07,4.83519228819461e-17,-3.41060513164848e-13,-6.41193764749914e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712181,constant,linear,density,2,14.07251225
20,160,32,0,0.204086458333333,0.0191665416666667,0.02941625,0.253850291666667,6.93198758004041e-12,1.05451929085197e-12,5.31720757212124e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83535110687222e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712234,constant,linear,displacement,3,13.3569339166667
10,160,64,0,0.390865291666667,0.0189383333333333,0.0283206666666667,0.439396291666667,6.9311750871073e-12,1.05467307556998e-12,5.3160471033041e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.8353193431367e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,displacement,3,13.3569339166667
5,160,128,0,0.771728875,0.0190347083333333,0.029684875,0.82175375,6.93127707648431e-12,1.05460440187802e-12,5.31611215533131e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83526640357749e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,displacement,3,13.3569339166667
20,160,32,0,0.197974666666667,0.01974575,0.0301039583333333,0.248847583333333,6.93198710011876e-12,1.05451929085197e-12,5.31720765409039e-11,8.34624597042913e-17,6.97075989188265e-13,2.62091669096972e-18,8.29593142860306e-07,4.83529816731301e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712239,constant,linear,density,3,13.356725
10,160,64,0,0.395348875,0.019385625,0.0298533333333333,0.44593275,6.93117460708915e-12,1.05467307556998e-12,5.31604718456665e-11,8.34624597042913e-17,6.97075989188265e-13,2.62091669096972e-18,8.29593142860306e-07,4.83526640357749e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712241,constant,linear,density,3,13.356725
5,160,128,0,0.785232291666667,0.0196371666666667,0.029497125,0.835740125,6.93127659676504e-12,1.05460440187802e-12,5.31611223601436e-11,8.34624597042913e-17,6.97075989188265e-13,2.62091669096972e-18,8.29593142860306e-07,4.83538287060774e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712241,constant,linear,density,3,13.356725
20,160,32,0,0.1950485,0.0200814583333333,0.0289582916666667,0.245272041666667,6.93142094861964e-12,7.08704358901888e-13,5.31688994211955e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98833223791317e-18,1.02318153949454e-12,-7.27595761418343e-12,-4.36557456851006e-11,-999.9998,-0.000199999999675877,constant,linear,displacement,4,13.2441024166667
10,160,64,0,0.385339458333333,0.0195765,0.0278349583333333,0.433871833333333,6.93060839596134e-12,7.08600902575784e-13,5.31572954313724e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98928514997883e-18,1.13686837721616e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675877,constant,linear,displacement,4,13.2441024166667
