deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,scenario,form,config
10,2000,800,0,2.42347979166667,0.101337791666667,0.155640166666667,2.68718258333333,4.63096662355585e-06,6.25596308025611e-06,1.31979473094464e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28502772259276e-08,-6.82121026329696e-13,0.0011438833162174,0.00552353315288201,-999.809692073037,-0.179973731806103,mixed,split,1
20,2000,400,0,1.032009625,0.0933984583333333,0.144377833333333,1.27543479166667,4.63096663680195e-06,6.2559631484908e-06,1.31974147779289e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28565466553476e-08,-1.13686837721616e-12,0.00114388332713133,0.00552353314014908,-999.809692073041,-0.179973731800611,mixed,compatible,1
10,2000,800,0,2.06299295833333,0.0871967916666667,0.136569833333333,2.29437641666667,4.63096662355591e-06,6.25596308025611e-06,1.31979473094464e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28502772259276e-08,-6.82121026329696e-13,0.0011438833162174,0.00552353315288201,-999.809692073037,-0.179973731806103,mixed,compatible,1
20,2000,400,0,2.65867045833334,0.209479,0.321289583333333,3.195683875,1.95846612246225e-07,2.72680049621737e-07,3.98960200093728e-07,3.38091034373757e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,8.45085512679589e-09,-2.04636307898909e-12,1.01975010693423e-05,3.09249171550618e-05,-999.809933194391,-0.180072235106049,mixed,divergence,2
10,2000,800,0,5.265464125,0.207356208333333,0.33035225,5.809088875,1.9584743328968e-07,2.72680050587399e-07,3.98915886691384e-07,3.38091034373757e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,8.45046854713871e-09,-1.13686837721616e-12,1.01975679172028e-05,3.09253264276776e-05,-999.809933194391,-0.180072235106308,mixed,divergence,2
20,2000,400,0,2.59815779166667,0.204676833333333,0.317498958333333,3.126083625,1.95846612189097e-07,2.72680050238927e-07,3.98960202131965e-07,3.38091034373757e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,8.4508557929297e-09,-2.04636307898909e-12,1.01975010693423e-05,3.0924913517083e-05,-999.809933194391,-0.180072235106038,mixed,advective,2
10,2000,800,0,5.21525058333333,0.201059833333333,0.313046,5.735334375,1.95847433232488e-07,2.72680048856805e-07,3.98915888724211e-07,3.38091034373757e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,8.45046765896029e-09,-1.13686837721616e-12,1.01975674624555e-05,3.09253264276776e-05,-999.809933194391,-0.180072235106297,mixed,advective,2
20,2000,400,0,3.15445,0.206944416666667,0.331262791666667,3.69913808333333,1.95846612217591e-07,2.72680050404406e-07,3.98960201112771e-07,3.38091034373757e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,8.45085534884049e-09,-2.04636307898909e-12,1.01975006145949e-05,3.09249171550618e-05,-999.809933194391,-0.180072235106043,mixed,split,2
10,2000,800,0,6.342231,0.207048666666667,0.323146333333333,6.87838416666667,1.95847433261113e-07,2.72680050409956e-07,3.98915887714094e-07,3.38091034373757e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,8.45046832509411e-09,-1.13686837721616e-12,1.01975679172028e-05,3.09253264276776e-05,-999.809933194391,-0.180072235106303,mixed,split,2
20,2000,400,0,2.95566645833333,0.205270916666667,0.319979208333333,3.48757045833333,1.95846612217574e-07,2.72680050404406e-07,3.98960201112771e-07,3.38091034373757e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,8.45085534884049e-09,-2.04636307898909e-12,1.01975006145949e-05,3.09249171550618e-05,-999.809933194391,-0.180072235106043,mixed,compatible,2
