profile,nx,nz,scenario,form,deltaT,energyChange,energyDefectIntegral,energyBudgetError,densityChange,densityDefectIntegral,densityBudgetError,secondDensityChange,secondDensityDefectIntegral,secondDensityBudgetError,externalWork
constant,16,65,waves,compatible,10,1.72045300228518e-09,1.72045067755018e-09,2.32473500474652e-15,3.51647031493485e-08,3.51517542464124e-08,1.29489029361009e-11,-9.47987427935004e-06,-9.47989305197297e-06,1.87726229282674e-11,0
constant,16,65,waves,compatible,5,1.72044800628157e-09,1.72045067723395e-09,-2.67095238070877e-15,3.51574271917343e-08,3.51517541048513e-08,5.67308688297371e-12,-9.47989610722288e-06,-9.47989301138165e-06,-3.09584123066959e-12,0
constant,16,65,mixed,divergence,10,-7.60175256075968e-11,-7.60140103855726e-11,-3.5152220241362e-15,-1.21845005196519e-07,-1.21838786240845e-07,-6.21895567442889e-12,-8.13262886367738e-07,-8.13365323224863e-07,1.02436857124448e-10,0
constant,16,65,mixed,divergence,5,-7.60140561606448e-11,-7.60140122045759e-11,-4.39560689283561e-17,-1.21845914691221e-07,-1.21838785842543e-07,-7.12884867825162e-12,-8.13241058494896e-07,-8.13365321529299e-07,1.24263034402808e-10,0
constant,16,65,mixed,advective,10,-7.60175256075968e-11,-7.60140105366268e-11,-3.51507096993158e-15,-1.21845005196519e-07,-1.21838786240354e-07,-6.21895616504626e-12,-8.13262886367738e-07,-8.13365323223651e-07,1.02436855912662e-10,0
constant,16,65,mixed,advective,5,-7.60140561606448e-11,-7.60140122843382e-11,-4.38763066548481e-17,-1.21845914691221e-07,-1.21838785843277e-07,-7.1288479442711e-12,-8.13241058494896e-07,-8.13365321531536e-07,1.24263036640669e-10,0
constant,16,65,mixed,split,10,-7.60175256075968e-11,-7.60140105676847e-11,-3.51503991205254e-15,-1.21845005196519e-07,-1.21838786240552e-07,-6.2189559672376e-12,-8.13262886367738e-07,-8.13365323223952e-07,1.02436856214205e-10,0
constant,16,65,mixed,split,5,-7.60140839162204e-11,-7.60140123397482e-11,-7.15764722071272e-17,-1.21845914691221e-07,-1.2183878584295e-07,-7.12884827059054e-12,-8.13241058494896e-07,-8.13365321530104e-07,1.24263035208548e-10,0
constant,16,65,mixed,compatible,10,-7.60175256075968e-11,-7.60140105796844e-11,-3.51502791241481e-15,-1.21845005196519e-07,-1.21838786240549e-07,-6.21895597057279e-12,-8.13262886367738e-07,-8.13365323223822e-07,1.02436856083868e-10,0
constant,16,65,mixed,compatible,5,-7.60140839162204e-11,-7.6014012325631e-11,-7.1590589427223e-17,-1.21845914691221e-07,-1.21838785842954e-07,-7.12884826656713e-12,-8.13241058494896e-07,-8.13365321530337e-07,1.24263035441059e-10,0
exponential,8,33,waves,divergence,10,2.26428236160814e-08,2.26428073452945e-08,1.62707868893645e-14,-0.000390748945392261,-0.000390748947220582,1.82832140269498e-12,-0.00196850573956908,-0.0019685057236025,-1.59665848251112e-11,0
exponential,8,33,waves,divergence,5,2.26427905314353e-08,2.264280707146e-08,-1.65400247819788e-14,-0.000390748945392261,-0.000390748945494785,1.02524434254792e-13,-0.00196850573956908,-0.0019685057149087,-2.4660383110553e-11,0
exponential,8,33,waves,advective,10,2.26428236160814e-08,2.26428073540472e-08,1.62620342199879e-14,-0.000390748945392261,-0.000390748947220551,1.82829066556339e-12,-0.00196850573956908,-0.0019685057236024,-1.59666832706684e-11,0
exponential,8,33,waves,advective,5,2.26427905314353e-08,2.26428070776038e-08,-1.65461685964954e-14,-0.000390748945392261,-0.000390748945494755,1.02494510274831e-13,-0.00196850573956908,-0.0019685057149086,-2.46604776529824e-11,0
exponential,8,33,waves,split,10,2.26428233940368e-08,2.2642807349541e-08,1.60444958270335e-14,-0.000390748945392261,-0.000390748947220566,1.82830546492305e-12,-0.00196850573956908,-0.00196850572360244,-1.59666377341772e-11,0
exponential,8,33,waves,split,5,2.26427907534799e-08,2.26428070799021e-08,-1.63264222765064e-14,-0.000390748945392261,-0.00039074894549477,1.02509580685028e-13,-0.00196850573956908,-0.00196850571490865,-2.46604299480868e-11,0
exponential,8,33,waves,compatible,10,2.26428233940368e-08,2.26428073494054e-08,1.60446313556138e-14,-0.000390748945392261,-0.000390748947220566,1.82830530229272e-12,-0.00196850573956908,-0.00196850572360244,-1.59666390352198e-11,0
exponential,8,33,waves,compatible,5,2.26427907534799e-08,2.26428070799134e-08,-1.63264335691761e-14,-0.000390748945392261,-0.000390748945494771,1.02509743315354e-13,-0.00196850573956908,-0.00196850571490865,-2.46604295144059e-11,0
exponential,8,33,mixed,divergence,10,3.03404931734086e-09,3.03406797652928e-09,-1.86591884216607e-14,1.42985277307162e-05,1.42985323029569e-05,-4.57224073699576e-12,7.20159187039826e-05,7.20159564326868e-05,-3.7728704221137e-11,0
exponential,8,33,mixed,divergence,5,3.03406860746591e-09,3.03406831500153e-09,2.92464383060912e-16,1.42985290949582e-05,1.42985322396173e-05,-3.14465909197626e-12,7.20159277989296e-05,7.20159561135116e-05,-2.83145820022734e-11,0
exponential,8,33,mixed,advective,10,3.03404937285201e-09,3.03406797432064e-09,-1.86014686324331e-14,1.42985277307162e-05,1.42985323029569e-05,-4.57224070819664e-12,7.20159187039826e-05,7.2015956432686e-05,-3.77287033537753e-11,0
exponential,8,33,mixed,advective,5,3.03406857971034e-09,3.03406831293e-09,2.66780332396912e-16,1.42985290949582e-05,1.42985322396155e-05,-3.14465731998334e-12,7.20159277989296e-05,7.20159561135044e-05,-2.8314574792329e-11,0
exponential,8,33,mixed,split,10,3.03404937285201e-09,3.03406797236717e-09,-1.85995151622849e-14,1.42985277307162e-05,1.42985323029568e-05,-4.57224067092719e-12,7.20159187039826e-05,7.2015956432687e-05,-3.77287044379775e-11,0
exponential,8,33,mixed,split,5,3.03406860746591e-09,3.03406831415273e-09,2.93313180798003e-16,1.42985290949582e-05,1.42985322396159e-05,-3.14465766557278e-12,7.20159277989296e-05,7.20159561135062e-05,-2.83145765270524e-11,0
exponential,8,33,mixed,compatible,10,3.03404937285201e-09,3.03406797236717e-09,-1.85995151622849e-14,1.42985277307162e-05,1.42985323029568e-05,-4.57224068109159e-12,7.20159187039826e-05,7.20159564326871e-05,-3.77287045192926e-11,0
exponential,8,33,mixed,compatible,5,3.03406860746591e-09,3.03406831415273e-09,2.93313180798003e-16,1.42985290949582e-05,1.42985322396159e-05,-3.14465765540839e-12,7.20159277989296e-05,7.20159561135061e-05,-2.83145765134999e-11,0
exponential,16,65,waves,divergence,10,2.12413664435473e-09,2.12413071828862e-09,5.92606611568916e-15,1.05293293017894e-06,1.05293415032627e-06,-1.22014732738375e-12,4.415305738803e-07,4.41526054615211e-07,4.51926508905368e-12,0
exponential,16,65,waves,divergence,5,2.1241304271058e-09,2.12413081917589e-09,-3.92070093391745e-16,1.05292701846338e-06,1.05293414567798e-06,-7.12721460121566e-12,4.41516021965072e-07,4.41526052713603e-07,-1.00307485319236e-11,0
exponential,16,65,waves,advective,10,2.12413642231013e-09,2.12413072203815e-09,5.70027197838881e-15,1.05293293017894e-06,1.0529341503251e-06,-1.22014616461927e-12,4.415305738803e-07,4.41526054614052e-07,4.51926624763593e-12,0
exponential,16,65,waves,advective,5,2.1241304271058e-09,2.12413082128783e-09,-3.94182028597839e-16,1.05292701846338e-06,1.05293414567844e-06,-7.12721506178983e-12,4.41516021965072e-07,4.41526052714112e-07,-1.00307490407787e-11,0
exponential,16,65,waves,split,10,2.12413642231013e-09,2.12413072221885e-09,5.70009127788887e-15,1.05293293017894e-06,1.05293415032579e-06,-1.22014684859838e-12,4.415305738803e-07,4.41526054615298e-07,4.51926500159753e-12,0
exponential,16,65,waves,split,5,2.1241304271058e-09,2.12413082246803e-09,-3.95362227975544e-16,1.05292701846338e-06,1.05293414567811e-06,-7.12721473398808e-12,4.41516021965072e-07,4.4152605271404e-07,-1.00307489684103e-11,0
exponential,16,65,waves,compatible,10,2.12413642231013e-09,2.12413072246731e-09,5.69984281516673e-15,1.05293293017894e-06,1.05293415032588e-06,-1.220146941772e-12,4.415305738803e-07,4.41526054615113e-07,4.51926518688599e-12,0
exponential,16,65,waves,compatible,5,2.1241304271058e-09,2.12413082245108e-09,-3.95345286903008e-16,1.05292701846338e-06,1.0529341456781e-06,-7.12721471810621e-12,4.41516021965072e-07,4.41526052713972e-07,-1.00307489004359e-11,0
exponential,16,65,mixed,divergence,10,-7.88302201293334e-11,-7.88293633623541e-11,-8.56766979302376e-16,-6.97382347425446e-08,-6.97426085991636e-08,4.37385661905174e-12,-1.64176526595838e-07,-1.64176921074605e-07,3.94478766976803e-13,0
exponential,16,65,mixed,divergence,5,-7.882916541746e-11,-7.88293625837896e-11,1.97166329649455e-16,-6.97382347425446e-08,-6.9742608311864e-08,4.37356931942561e-12,-1.64172888617031e-07,-1.64176920469461e-07,4.03185242966997e-12,0
exponential,16,65,mixed,advective,10,-7.88301923737578e-11,-7.88293634241169e-11,-8.28949640863368e-16,-6.97382347425446e-08,-6.97426085985345e-08,4.37385598991802e-12,-1.64176526595838e-07,-1.64176921073475e-07,3.94477636134879e-13,0
exponential,16,65,mixed,advective,5,-7.882916541746e-11,-7.88293627819601e-11,1.97364500061764e-16,-6.97382347425446e-08,-6.97426083117983e-08,4.37356925368791e-12,-1.64172888617031e-07,-1.6417692046955e-07,4.03185251905841e-12,0
exponential,16,65,mixed,split,10,-7.88301923737578e-11,-7.8829363869868e-11,-8.28503889774876e-16,-6.97382347425446e-08,-6.97426085989172e-08,4.37385637260486e-12,-1.64176526595838e-07,-1.64176921073823e-07,3.9447798426542e-13,0
exponential,16,65,mixed,split,5,-7.882916541746e-11,-7.88293627177267e-11,1.97300266734239e-16,-6.97382347425446e-08,-6.9742608311959e-08,4.37356941445212e-12,-1.64172888617031e-07,-1.64176920469065e-07,4.03185203392029e-12,0
exponential,16,65,mixed,compatible,10,-7.88301923737578e-11,-7.88293638585742e-11,-8.28515183543198e-16,-6.97382347425446e-08,-6.97426085989203e-08,4.37385637567536e-12,-1.64176526595838e-07,-1.64176921073778e-07,3.94477939637372e-13,0
exponential,16,65,mixed,compatible,5,-7.882916541746e-11,-7.88293627175503e-11,1.97300090260425e-16,-6.97382347425446e-08,-6.97426083119538e-08,4.37356940925081e-12,-1.64172888617031e-07,-1.6417692046905e-07,4.03185201891193e-12,0
