nx,nz,scenario,form,rmsError,maxError,scalarBudgetDefect
32,17,oscillatory,divergence,4.32355038965265e-07,2.17160991989048e-06,-1.21430643318376e-17
32,17,oscillatory,advective,2.37517356134575e-08,9.57333472070756e-08,-6.93889390390723e-18
32,17,oscillatory,split,2.2300689990319e-07,1.08580495994525e-06,-9.54097911787244e-18
32,17,oscillatory,compatible,2.57597664886834e-07,1.08580495994525e-06,-5.20417042793042e-18
32,17,boundary,divergence,3.49878902372673e-09,2.41884658215878e-08,-2.22803332586893e-08
32,17,boundary,advective,1.29995687370346e-09,5.6001630901007e-09,-2.43946105570113e-08
32,17,boundary,split,1.50118722294056e-09,1.2094232910821e-08,-2.3337471908311e-08
32,17,boundary,compatible,7.46864978835364e-08,3.49988279690885e-07,0
32,33,oscillatory,divergence,2.80605721349155e-17,1.67292395214513e-16,2.60208521396521e-18
32,33,oscillatory,advective,2.53510318244902e-19,1.00288700954909e-18,1.04083408558608e-17
32,33,oscillatory,split,1.40630837825272e-17,8.36597501344127e-17,1.12757025938492e-17
32,33,oscillatory,compatible,9.98130878149595e-09,3.86775269584552e-08,-1.73472347597681e-18
32,33,boundary,divergence,2.43472506217002e-19,1.82620303428027e-18,-1.96630906001971e-15
32,33,boundary,advective,2.56003806125975e-19,9.95892370289343e-19,-1.96603800947659e-15
32,33,boundary,split,1.48642783669851e-19,9.18183714823662e-19,-1.96614642969384e-15
32,33,boundary,compatible,1.31255997635735e-08,6.18419296869631e-08,-3.79470760369927e-19
32,65,oscillatory,divergence,1.05368029188743e-18,1.82145964977565e-17,0
32,65,oscillatory,advective,2.72944385658406e-19,1.30104260698261e-18,8.67361737988404e-18
32,65,oscillatory,split,5.76094734065369e-19,9.09374572172217e-18,4.33680868994202e-18
32,65,oscillatory,compatible,2.41512495347939e-09,1.02706441836812e-08,-1.04083408558608e-17
32,65,boundary,divergence,5.38827677075632e-19,7.45388993583784e-18,1.62630325872826e-19
32,65,boundary,advective,1.11621391645253e-19,9.62229428080885e-19,3.25260651745651e-19
32,65,boundary,split,2.83813334742745e-19,3.69983991360678e-18,1.62630325872826e-19
32,65,boundary,compatible,2.93534146812173e-09,1.3842225650639e-08,5.42101086242752e-20
64,9,oscillatory,divergence,8.99186984158709e-05,0.000312544319526416,-1.05381486550276e-18
64,9,oscillatory,advective,3.37042078225962e-05,0.000145282672483368,-1.69343061979816e-18
64,9,oscillatory,split,5.78672117070402e-05,0.000181329536117257,-1.61995051162385e-18
64,9,oscillatory,compatible,6.34745720838967e-05,0.000197448564174856,8.63550089725759e-19
64,9,boundary,divergence,2.04572429233907e-06,1.37993777289523e-05,-3.52417739166442e-06
64,9,boundary,advective,9.13428996515104e-07,4.15298493537502e-06,-1.10230261197171e-05
64,9,boundary,split,1.00196062486696e-06,6.89968886447621e-06,-7.27360175569072e-06
64,9,boundary,compatible,1.21357156481595e-06,6.89968886447621e-06,3.4410713482206e-20
64,17,oscillatory,divergence,4.32355038965265e-07,2.16683564218202e-06,-9.51805628873737e-18
64,17,oscillatory,advective,2.37517356134578e-08,9.55228777385349e-08,-7.66744811766433e-18
64,17,oscillatory,split,2.2300689990319e-07,1.08341782109103e-06,-8.72809218630433e-18
64,17,oscillatory,compatible,2.57597664886834e-07,1.08341782109103e-06,-1.74329968456776e-19
64,17,boundary,divergence,3.49878902372267e-09,2.41352875547338e-08,-2.22803332586699e-08
64,17,boundary,advective,1.29995687370322e-09,5.58785114882599e-09,-2.43946105575167e-08
64,17,boundary,split,1.50118722293994e-09,1.20676437774228e-08,-2.33374719080957e-08
64,17,boundary,compatible,7.46864978835356e-08,3.49218831537803e-07,3.45496798251149e-20
64,33,oscillatory,divergence,2.80629174314506e-17,1.67168728404214e-16,3.14089081264755e-18
64,33,oscillatory,advective,4.09783165757729e-19,1.8702487475375e-18,5.27843139460298e-18
64,33,oscillatory,split,1.40666321192844e-17,8.3603845959894e-17,4.24129249024929e-18
64,33,oscillatory,compatible,9.98130878149783e-09,3.8592494534726e-08,4.23926755210976e-19
64,33,boundary,divergence,3.10772862120741e-19,2.41234983378025e-18,-1.96613301447866e-15
64,33,boundary,advective,3.03795280683015e-19,1.97866896478605e-18,-1.96609136924354e-15
64,33,boundary,split,2.27331571240929e-19,2.16840434497101e-18,-1.96611011977367e-15
64,33,boundary,compatible,1.31255997635738e-08,6.17059703953747e-08,3.78981069447295e-20
64,65,oscillatory,divergence,1.11961495362352e-18,1.80451899083056e-17,1.78128381829619e-19
64,65,oscillatory,advective,4.19222246683239e-19,1.95156391047391e-18,1.7416817192896e-18
64,65,oscillatory,split,6.67251078121186e-19,9.03275934951986e-18,1.83305539847466e-18
64,65,oscillatory,compatible,2.41512495348141e-09,1.02480642040742e-08,8.00045779738838e-19
64,65,boundary,divergence,5.71309523994124e-19,8.02309607639273e-18,3.26817405658476e-19
64,65,boundary,advective,1.93496954581128e-19,1.97866896478605e-18,3.33753315094733e-19
64,65,boundary,split,3.29490583318634e-19,4.05220561966457e-18,3.20948145622106e-19
64,65,boundary,compatible,2.9353414681223e-09,1.38117935602112e-08,3.76354771002439e-20
