profile,nx,nz,apvCount,waveCount,form,setupSeconds,operatorSetupSeconds,medianSeconds,minimumSeconds,maximumSeconds,trial1,trial2,trial3,trial4,trial5
constant,16,65,6,8,split,13.4984179166667,0.00420004166666667,0.00752019027777778,0.00730022361111111,0.00804143888888889,0.00788246666666667,0.00804143888888889,0.00752019027777778,0.0073553875,0.00730022361111111
constant,16,65,6,8,compatible,13.4984179166667,0.00363904166666667,0.00723554444444444,0.00680353611111111,0.00751428472222222,0.00737861666666667,0.00751428472222222,0.00704335555555556,0.00723554444444444,0.00680353611111111
constant,24,129,10,12,production,28.5586135416667,0.003033875,0.0163303472222222,0.0161873111111111,0.0163893333333333,0.016342925,0.0163893333333333,0.0162795958333333,0.0163303472222222,0.0161873111111111
constant,24,129,10,12,divergence,28.5586135416667,0.00429925,0.0159432361111111,0.0158047680555556,0.0159965444444444,0.0159432361111111,0.0158922333333333,0.0159548305555556,0.0159965444444444,0.0158047680555556
constant,24,129,10,12,advective,28.5586135416667,0.00465766666666667,0.0157812125,0.0157700319444444,0.0158555625,0.0157700319444444,0.0157812125,0.0158225652777778,0.0157800680555556,0.0158555625
constant,24,129,10,12,split,28.5586135416667,0.00421270833333333,0.0182946361111111,0.0182028597222222,0.0183362569444444,0.0182604277777778,0.0182028597222222,0.0183138611111111,0.0183362569444444,0.0182946361111111
constant,24,129,10,12,compatible,28.5586135416667,0.00442129166666667,0.017722275,0.0176872138888889,0.0178998013888889,0.0178998013888889,0.0177290847222222,0.017722275,0.0176956458333333,0.0176872138888889
exponential,8,33,3,4,production,4.19845545833333,0.00435529166666667,0.00265549166666667,0.00262413194444444,0.00305845277777778,0.00267950972222222,0.00265549166666667,0.00264495694444444,0.00305845277777778,0.00262413194444444
exponential,8,33,3,4,divergence,4.19845545833333,0.00608879166666667,0.00257831666666667,0.00256715972222222,0.00258673472222222,0.00258378888888889,0.00256715972222222,0.00257778611111111,0.00257831666666667,0.00258673472222222
exponential,8,33,3,4,advective,4.19845545833333,0.0063485,0.00256548194444444,0.00255742083333333,0.00259899027777778,0.00255742083333333,0.00256315555555556,0.00259899027777778,0.00257431944444444,0.00256548194444444
exponential,8,33,3,4,split,4.19845545833333,0.00492033333333333,0.00306245555555556,0.00304043194444444,0.00311270416666667,0.00305729444444444,0.00306245555555556,0.00304043194444444,0.00309564583333333,0.00311270416666667
exponential,8,33,3,4,compatible,4.19845545833333,0.013929375,0.00270576666666667,0.00269830972222222,0.00274030138888889,0.002700075,0.00270576666666667,0.00269830972222222,0.00274030138888889,0.002706025
exponential,16,65,3,4,production,13.505898,0.00771520833333333,0.00654313888888889,0.00652256666666667,0.0066466125,0.0066466125,0.00655978611111111,0.00654313888888889,0.00652256666666667,0.00653519861111111
exponential,16,65,3,4,divergence,13.505898,0.00674925,0.00662990416666667,0.00660121944444444,0.00676064444444444,0.00676064444444444,0.00660715972222222,0.00667999166666667,0.00660121944444444,0.00662990416666667
exponential,16,65,3,4,advective,13.505898,0.00393429166666667,0.00656779027777778,0.00649606111111111,0.00670330416666667,0.00670330416666667,0.00656779027777778,0.00658958472222222,0.00649606111111111,0.00656412777777778
exponential,16,65,3,4,split,13.505898,0.00355566666666667,0.00793785555555556,0.00780012361111111,0.00802213194444444,0.00801675694444444,0.00793785555555556,0.00802213194444444,0.00780012361111111,0.00786439722222222
exponential,16,65,3,4,compatible,13.505898,0.002901875,0.00741104305555556,0.0073855625,0.00772855277777778,0.00772855277777778,0.00743286666666667,0.0073855625,0.00741104305555556,0.00738682083333333
exponential,16,65,6,8,production,13.4056442083333,0.00210516666666667,0.00656307916666667,0.00652050555555556,0.00668640138888889,0.00668640138888889,0.00667817083333333,0.00653492638888889,0.00652050555555556,0.00656307916666667
exponential,16,65,6,8,divergence,13.4056442083333,0.00334920833333333,0.00659930555555556,0.00652286944444444,0.00677879027777778,0.00677879027777778,0.00659930555555556,0.00658542777777778,0.00652286944444444,0.00664848472222222
exponential,16,65,6,8,advective,13.4056442083333,0.00309445833333333,0.00657385972222222,0.00651072916666667,0.00671653194444444,0.00665733888888889,0.00671653194444444,0.00651072916666667,0.00657385972222222,0.00655839583333333
exponential,16,65,6,8,split,13.4056442083333,0.00281445833333333,0.00786099861111111,0.00779917916666667,0.0080388,0.00803569722222222,0.0080388,0.00784578472222222,0.00779917916666667,0.00786099861111111
exponential,16,65,6,8,compatible,13.4056442083333,0.00297758333333333,0.00752054444444444,0.00726079722222222,0.00756265416666667,0.00752054444444444,0.00753115,0.00756265416666667,0.00733715833333333,0.00726079722222222
exponential,24,129,10,12,production,29.1905610833333,0.002129625,0.0181943736111111,0.0181076291666667,0.0182772027777778,0.0182772027777778,0.0181943736111111,0.0182230166666667,0.0181132861111111,0.0181076291666667
