profile,amplitude,time,config,form,family,rmsError,referenceRMS
constant,0.0001,327,5,divergence,Ag_q,8.45419084963569e-31,4.87731145211272e-20
constant,0.0001,327,5,divergence,Ag_0,1.31467916472005e-26,8.37324652982251e-18
constant,0.0001,327,5,divergence,Aw_p,1.275761702891e-16,1.60491284300741e-14
constant,0.0001,327,5,divergence,Aw_m,1.27576170289099e-16,8.17185504999165e-15
constant,0.0001,327,5,divergence,Aio,5.4170238339949e-27,3.55607480344103e-13
constant,0.0001,327,5,divergence,Amda,1.00597431626132e-24,1.15039457293025e-13
constant,0.0001,327,5,advective,Ag_q,8.53524518972995e-31,4.87731145211272e-20
constant,0.0001,327,5,advective,Ag_0,1.32355381730402e-26,8.37324652982251e-18
constant,0.0001,327,5,advective,Aw_p,1.275761702891e-16,1.60491284300741e-14
constant,0.0001,327,5,advective,Aw_m,1.27576170289099e-16,8.17185504999165e-15
constant,0.0001,327,5,advective,Aio,5.36283403153984e-27,3.55607480344103e-13
constant,0.0001,327,5,advective,Amda,9.7647737581332e-25,1.15039457293025e-13
constant,0.0001,327,5,split,Ag_q,8.49398027840844e-31,4.87731145211272e-20
constant,0.0001,327,5,split,Ag_0,1.31869092147914e-26,8.37324652982251e-18
constant,0.0001,327,5,split,Aw_p,1.275761702891e-16,1.60491284300741e-14
constant,0.0001,327,5,split,Aw_m,1.27576170289099e-16,8.17185504999165e-15
constant,0.0001,327,5,split,Aio,5.37996749327958e-27,3.55607480344103e-13
constant,0.0001,327,5,split,Amda,9.91204620060064e-25,1.15039457293025e-13
constant,0.0001,327,5,compatible,Ag_q,8.49404882759893e-31,4.87731145211272e-20
constant,0.0001,327,5,compatible,Ag_0,1.31869117838945e-26,8.37324652982251e-18
constant,0.0001,327,5,compatible,Aw_p,1.275761702891e-16,1.60491284300741e-14
constant,0.0001,327,5,compatible,Aw_m,1.27576170289099e-16,8.17185504999165e-15
constant,0.0001,327,5,compatible,Aio,5.54833261220916e-27,3.55607480344103e-13
constant,0.0001,327,5,compatible,Amda,9.912249197859e-25,1.15039457293025e-13
constant,0.0001,327,6,divergence,Ag_q,8.45450255278946e-31,4.87731145211272e-20
constant,0.0001,327,6,divergence,Ag_0,1.3124537081439e-26,8.37324652982251e-18
