profile,amplitude,time,config,form,field,rmsError,maxError,referenceRMS
constant,0.0001,901,2,compatible,u,8.14519375749233e-18,1.38655253611141e-17,9.31774486249301e-14
constant,0.0001,901,2,compatible,v,4.72828755379142e-18,1.07470504827712e-17,3.22890203108152e-14
constant,0.0001,901,2,compatible,w,5.52038835683743e-20,1.1579535968947e-19,1.73245866547309e-09
constant,0.0001,901,2,compatible,eta,1.47602632946285e-16,2.48245207370182e-16,1.38726640031185e-12
constant,0.0001,901,3,divergence,u,1.95267209747729e-25,2.39164955978734e-24,9.31774486249301e-14
constant,0.0001,901,3,divergence,v,2.14486846680043e-25,2.8908722950474e-24,3.22890203108155e-14
constant,0.0001,901,3,divergence,w,7.56397779613089e-24,1.0387981591796e-22,1.73245866440425e-09
constant,0.0001,901,3,divergence,eta,4.58424678316796e-23,3.49948662446996e-22,1.38726640031186e-12
constant,0.0001,901,3,advective,u,1.94883788842362e-25,2.37774036430648e-24,9.31774486249301e-14
constant,0.0001,901,3,advective,v,2.13634400253644e-25,2.87900151614564e-24,3.22890203108155e-14
constant,0.0001,901,3,advective,w,7.56397251481148e-24,1.0387979856302e-22,1.73245866440425e-09
constant,0.0001,901,3,advective,eta,4.58876394251076e-23,3.5017962829827e-22,1.38726640031186e-12
constant,0.0001,901,3,split,u,1.95070987722347e-25,2.38469496204691e-24,9.31774486249301e-14
constant,0.0001,901,3,split,v,2.14059729342552e-25,2.8849337501529e-24,3.22890203108155e-14
constant,0.0001,901,3,split,w,7.56397515608221e-24,1.0387980724049e-22,1.73245866440425e-09
constant,0.0001,901,3,split,eta,4.58650493782736e-23,3.5006415168352e-22,1.38726640031186e-12
constant,0.0001,901,3,compatible,u,8.14519375746457e-18,1.79520129024566e-17,9.31774486249301e-14
constant,0.0001,901,3,compatible,v,4.72828755375518e-18,1.2090552482907e-17,3.22890203108155e-14
constant,0.0001,901,3,compatible,w,5.52038836301979e-20,1.30608027152507e-19,1.73245866440425e-09
constant,0.0001,901,3,compatible,eta,1.47602632948356e-16,3.10226284909117e-16,1.38726640031186e-12
constant,0.0001,901,4,divergence,u,1.56124683735057e-25,2.69743097931273e-24,9.30512685954802e-14
constant,0.0001,901,4,divergence,v,1.55441799538489e-25,2.90379699211854e-24,3.21999365868007e-14
constant,0.0001,901,4,divergence,w,5.33492923107505e-24,1.01937963013416e-22,1.23442063533279e-09
constant,0.0001,901,4,divergence,eta,3.24772635355081e-23,3.47546170782927e-22,1.39789512240767e-12
constant,0.0001,901,4,advective,u,1.512662839259e-25,2.63128657013176e-24,9.30512685954802e-14
constant,0.0001,901,4,advective,v,1.52752346002522e-25,2.87893840727322e-24,3.21999365868007e-14
constant,0.0001,901,4,advective,w,5.33492861875109e-24,1.01937991412409e-22,1.23442063533279e-09
constant,0.0001,901,4,advective,eta,3.2714632446292e-23,3.50179678785368e-22,1.39789512240767e-12
constant,0.0001,901,4,split,u,1.5368544637768e-25,2.66435561927862e-24,9.30512685954802e-14
constant,0.0001,901,4,split,v,1.54093154972104e-25,2.89136454425226e-24,3.21999365868007e-14
constant,0.0001,901,4,split,w,5.33492892317081e-24,1.01937977212912e-22,1.23442063533279e-09
constant,0.0001,901,4,split,eta,3.25957481385491e-23,3.48862924784147e-22,1.39789512240767e-12
constant,0.0001,901,4,compatible,u,1.95733968366367e-18,4.28108807347303e-18,9.30512685954802e-14
constant,0.0001,901,4,compatible,v,1.13685506772316e-18,2.88470925409701e-18,3.21999365868007e-14
constant,0.0001,901,4,compatible,w,1.32467713087342e-20,3.11010946043822e-20,1.23442063533279e-09
constant,0.0001,901,4,compatible,eta,3.54280034909945e-17,7.38776488952926e-17,1.39789512240767e-12
constant,0.0001,901,5,divergence,u,1.26954740530886e-25,3.04052867509869e-24,9.2986645160186e-14
constant,0.0001,901,5,divergence,v,1.2890082125976e-25,3.59385464668243e-24,3.21542634283686e-14
constant,0.0001,901,5,divergence,w,3.74897973042582e-24,8.95366262435131e-23,8.76243877442545e-10
constant,0.0001,901,5,divergence,eta,2.33170047427661e-23,3.55773373924015e-22,1.40330194352188e-12
constant,0.0001,901,5,advective,u,1.11637213214461e-25,2.61659719121564e-24,9.2986645160186e-14
constant,0.0001,901,5,advective,v,1.13895648413772e-25,3.27340672520718e-24,3.21542634283686e-14
constant,0.0001,901,5,advective,w,3.74886058966453e-24,8.95355873137009e-23,8.76243877442545e-10
constant,0.0001,901,5,advective,eta,2.35024381773505e-23,3.50696265138013e-22,1.40330194352188e-12
constant,0.0001,901,5,split,u,1.18400288544794e-25,2.81800048006671e-24,9.2986645160186e-14
constant,0.0001,901,5,split,v,1.2125025223712e-25,3.4256063928169e-24,3.21542634283686e-14
constant,0.0001,901,5,split,w,3.74892703940334e-24,8.95361071730375e-23,8.76243877442545e-10
constant,0.0001,901,5,split,eta,2.34029208636203e-23,3.53234819531014e-22,1.40330194352188e-12
constant,0.0001,901,5,compatible,u,4.80191787111542e-19,1.04620386642283e-18,9.2986645160186e-14
constant,0.0001,901,5,compatible,v,2.78968274256425e-19,7.05108809231087e-19,3.21542634283686e-14
constant,0.0001,901,5,compatible,w,3.24780276622844e-21,7.59914307756858e-21,8.76243877442545e-10
constant,0.0001,901,5,compatible,eta,8.68708352109959e-18,1.80440811397918e-17,1.40330194352188e-12
constant,0.0001,901,6,divergence,u,1.2652447321969e-25,3.13854937573783e-24,9.2986645160186e-14
constant,0.0001,901,6,divergence,v,1.29317401409473e-25,3.66867652582084e-24,3.21542634283686e-14
constant,0.0001,901,6,divergence,w,6.11250644303458e-12,4.85971796366793e-10,8.76241362666646e-10
constant,0.0001,901,6,divergence,eta,2.33140456226711e-23,3.55511281199143e-22,1.40330194352188e-12
constant,0.0001,901,6,advective,u,1.1122457161041e-25,2.72418914121782e-24,9.2986645160186e-14
constant,0.0001,901,6,advective,v,1.13892363076809e-25,3.27921905235684e-24,3.21542634283686e-14
constant,0.0001,901,6,advective,w,6.11250644303458e-12,4.85971796366793e-10,8.76241362666646e-10
constant,0.0001,901,6,advective,eta,2.35024206144731e-23,3.50736971149583e-22,1.40330194352188e-12
constant,0.0001,901,6,split,u,1.18012773597855e-25,2.90610677684903e-24,9.2986645160186e-14
constant,0.0001,901,6,split,v,1.21450884693679e-25,3.46562372881695e-24,3.21542634283686e-14
constant,0.0001,901,6,split,w,6.11250644303458e-12,4.85971796366793e-10,8.76241362666646e-10
constant,0.0001,901,6,split,eta,2.34014334487667e-23,3.53026472688475e-22,1.40330194352188e-12
constant,0.0001,901,6,compatible,u,4.80191787114399e-19,1.04620386677624e-18,9.2986645160186e-14
constant,0.0001,901,6,compatible,v,2.78968274266869e-19,7.05108809306818e-19,3.21542634283686e-14
constant,0.0001,901,6,compatible,w,6.11250644303458e-12,4.85971796366793e-10,8.76241362666646e-10
constant,0.0001,901,6,compatible,eta,8.68708352222017e-18,1.80440811345917e-17,1.40330194352188e-12
constant,0.0001,901,7,divergence,u,2.23136015416236e-29,2.01948391736579e-28,9.29539391521568e-14
constant,0.0001,901,7,divergence,v,7.94102079662845e-30,6.31088724176809e-29,3.21311355482931e-14
constant,0.0001,901,7,divergence,w,1.48642876244616e-25,9.92616735063633e-24,6.20802261349124e-10
constant,0.0001,901,7,divergence,eta,3.54685431422842e-28,3.23117426778526e-27,1.40602899283403e-12
constant,0.0001,901,7,advective,u,9.11034569778095e-26,2.7186785533644e-24,9.29539391521568e-14
constant,0.0001,901,7,advective,v,8.34141783933194e-26,3.25732658451515e-24,3.21311355482931e-14
constant,0.0001,901,7,advective,w,1.49791166675097e-25,9.92616735063633e-24,6.20802261349124e-10
constant,0.0001,901,7,advective,eta,1.78926967864899e-23,3.50696542817051e-22,1.40602899283403e-12
constant,0.0001,901,7,split,u,4.55518195977286e-26,1.35933868503652e-24,9.29539391521568e-14
constant,0.0001,901,7,split,v,4.17071026565999e-26,1.62866960314482e-24,3.21311355482931e-14
constant,0.0001,901,7,split,w,1.49183345639124e-25,9.92616735063633e-24,6.20802261349124e-10
constant,0.0001,901,7,split,eta,8.94634836350002e-24,1.75348275747261e-22,1.40602899283403e-12
