deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,scenario,form,config
5,160,128,0,0.945598041666667,0.0235440416666667,0.0303027916666667,1.00070291666667,6.93127707648459e-12,1.05460440187802e-12,5.31611215533131e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83526640357749e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,compatible,3
20,160,32,0,0.21903075,0.0221753333333333,0.0320801666666667,0.274466666666667,6.93142094861964e-12,7.08704358901888e-13,5.31688994211955e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98833223791317e-18,1.02318153949454e-12,-7.27595761418343e-12,-4.36557456851006e-11,-999.9998,-0.000199999999675877,constant,linear,divergence,4
10,160,64,0,0.421949083333333,0.0216642916666667,0.0317300833333333,0.476572166666667,6.93060839596134e-12,7.08600902575784e-13,5.31572954313724e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98928514997883e-18,1.13686837721616e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675877,constant,linear,divergence,4
5,160,128,0,0.870884791666666,0.0225604583333333,0.0359832083333333,0.930712333333333,6.93071039230959e-12,7.08753260271967e-13,5.31579459776315e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98917927086043e-18,1.02318153949454e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675877,constant,linear,divergence,4
20,160,32,0,0.221416708333333,0.0228462083333333,0.0318278333333333,0.277281541666667,6.93142094861937e-12,7.08704358901888e-13,5.31688994211955e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98833223791317e-18,1.02318153949454e-12,-7.27595761418343e-12,-4.36557456851006e-11,-999.9998,-0.000199999999675877,constant,linear,advective,4
10,160,64,0,0.436172041666667,0.0219075416666667,0.03165975,0.490945041666667,6.93060839596179e-12,7.08600902575784e-13,5.31572954313724e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98928514997883e-18,1.13686837721616e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675877,constant,linear,advective,4
5,160,128,0,0.914438125,0.0225569583333333,0.0373268333333333,0.975478125,6.93071039230971e-12,7.08753260271967e-13,5.31579459776315e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98917927086043e-18,1.02318153949454e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675877,constant,linear,advective,4
20,160,32,0,0.264519333333333,0.023582125,0.030335625,0.320506583333333,6.93142094861937e-12,7.08704358901888e-13,5.31688994211955e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98833223791317e-18,1.02318153949454e-12,-7.27595761418343e-12,-4.36557456851006e-11,-999.9998,-0.000199999999675877,constant,linear,split,4
10,160,64,0,0.537956166666667,0.0238324583333333,0.0324870833333333,0.595594625,6.93060839596133e-12,7.08600902575784e-13,5.31572954313724e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98928514997883e-18,1.13686837721616e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675877,constant,linear,split,4
5,160,128,0,1.084567125,0.0212544583333333,0.031055,1.13819933333333,6.93071039230971e-12,7.08753260271967e-13,5.31579459776315e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98917927086043e-18,1.02318153949454e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675877,constant,linear,split,4
20,160,32,0,0.238549166666667,0.0223379583333333,0.0317055833333333,0.293842375,6.93142094861937e-12,7.08704358901888e-13,5.31688994211955e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98833223791317e-18,1.02318153949454e-12,-7.27595761418343e-12,-4.36557456851006e-11,-999.9998,-0.000199999999675877,constant,linear,compatible,4
10,160,64,0,0.479285916666667,0.020650375,0.029979,0.531657833333333,6.93060839596133e-12,7.08600902575784e-13,5.31572954313724e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98928514997883e-18,1.13686837721616e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675877,constant,linear,compatible,4
