family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,direction,count,status,referenceNz,withoutBuoyancyError,minimumGamma,maximumSSHOverDepth
Ag_q,9.73368311071812e-27,1.85407120953713e-14,5.24989712404203e-13,2.7030127355178e-23,1.38377050469382e-06,0.000138327238143899,constant,0.01,327,horizontal,16,assessed,1025,5.24989712404203e-13,0.999971951046933,2.80489530668741e-05
Ag_0,2.45221388698147e-22,2.59122821607734e-12,9.46351954554466e-11,3.80379371497923e-19,0.000146832979645055,0.0146738380956877,constant,0.01,327,horizontal,16,assessed,1025,9.46351954554466e-11,0.999971951046933,2.80489530668741e-05
Aw_p,4.40450203328184e-15,7.03471790234882e-09,6.2610926186695e-07,1.86968790156941e-14,0.00328390961595674,0.265780044309253,constant,0.01,327,horizontal,16,assessed,1025,8.56185958095847e-16,0.999971951046933,2.80489530668741e-05
Aw_m,4.40450203328654e-15,3.58373666432905e-09,1.22902502215831e-06,1.86968790153267e-14,0.00644616967323089,0.521714499401761,constant,0.01,327,horizontal,16,assessed,1025,1.41950965640007e-15,0.999971951046933,2.80489530668741e-05
Aio,3.44481157721099e-24,6.07380887208267e-09,5.67158376195296e-16,6.22833758143288e-23,1.08215747242352e-11,1.02544164414176e-09,constant,0.01,327,horizontal,16,assessed,1025,5.67158376195296e-16,0.999971951046933,2.80489530668741e-05
Amda,4.37998069171295e-21,1.42889198720072e-09,3.0652986586436e-12,4.85659053273439e-19,3.4295012877428e-07,3.39884832260862e-05,constant,0.01,327,horizontal,16,assessed,1025,3.0652986586436e-12,0.999971951046933,2.80489530668741e-05
Ag_q,2.43839994522052e-26,1.85407120953713e-14,1.31515981299837e-12,2.7030127355178e-23,1.38452023767541e-06,0.000138327238143899,constant,0.01,327,horizontal,24,assessed,1025,1.31515981299837e-12,0.999971783713228,2.82162867718533e-05
Ag_0,5.51345791808094e-22,2.59122821607734e-12,2.12773922569713e-10,3.80379371497923e-19,0.000146951072797969,0.0146738380956877,constant,0.01,327,horizontal,24,assessed,1025,2.12773922569713e-10,0.999971783713228,2.82162867718533e-05
Aw_p,9.48008178456611e-16,7.03471790234882e-09,1.34761363798267e-07,1.86968790156941e-14,0.00279256178773419,0.265780044309253,constant,0.01,327,horizontal,24,assessed,1025,5.44914355560104e-16,0.999971783713228,2.82162867718533e-05
Aw_m,9.48008178509148e-16,3.58373666432905e-09,2.64530647004622e-07,1.86968790153267e-14,0.00548167556720806,0.521714499401761,constant,0.01,327,horizontal,24,assessed,1025,1.89962928388343e-15,0.999971783713228,2.82162867718533e-05
