family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,referenceNz
Ag_q,0,1.85423436578469e-10,0,7.35545391518868e-21,3.96682015106244e-08,3.96682015106244e-06,constant,1,327,257
Ag_0,0,2.59145626962631e-08,0,9.52545536608808e-17,3.67571512209625e-06,0.000367571512209625,constant,1,327,257
Aw_p,0,7.03735499973499e-05,0,1.44787754088839e-11,0.000205741722695862,0.0205741722695862,constant,1,327,257
Aw_m,0,3.58407794608343e-05,0,1.44787754152942e-11,0.000403974903244282,0.0403974903244282,constant,1,327,257
Aio,0,6.0739394098631e-05,0,1.86492586541257e-19,3.07037284954396e-12,3.07037284954395e-10,constant,1,327,257
Amda,0,1.42938199612276e-05,0,2.75265405892472e-16,1.9257651671833e-08,1.9257651671833e-06,constant,1,327,257
Ag_q,0,1.86038204490668e-10,0,7.83803572801791e-21,4.21310967732668e-08,4.21310967732668e-06,constant,1,901,257
Ag_0,0,2.85674871653756e-08,0,1.01673914957931e-16,3.5590778709471e-06,0.00035590778709471,constant,1,901,257
Aw_p,0,7.00121522931272e-05,0,9.69140229290018e-12,0.000138424573096764,0.0138424573096764,constant,1,901,257
Aw_m,0,3.54654183520701e-05,0,9.69140228250257e-12,0.000273263441756739,0.0273263441756739,constant,1,901,257
Aio,0,5.86103569109323e-05,0,1.48939220455504e-19,2.54117579729636e-12,2.54117579729636e-10,constant,1,901,257
Amda,0,7.84254806204507e-06,0,1.42453162709128e-16,1.81641427714523e-08,1.81641427714523e-06,constant,1,901,257
Ag_q,0,4.10297183730787e-14,0,2.34885984023026e-24,5.5885690676785e-08,5.5885690676785e-06,exponential,0.01,327,513
Ag_0,0,1.42834663228379e-11,0,3.62801346238748e-20,2.53983129673317e-06,0.000253983129673317,exponential,0.01,327,513
Aw_p,0,1.90150733365513e-08,0,3.98876948984658e-14,0.00209768808643532,0.209768808643532,exponential,0.01,327,513
Aw_m,0,1.19362601386212e-08,0,3.98876948990421e-14,0.00334172438385925,0.334172438385925,exponential,0.01,327,513
Aio,0,1.81032914314043e-08,0,1.77891463984943e-22,9.82647022131448e-12,9.82647022131448e-10,exponential,0.01,327,513
Amda,0,1.75967967059638e-09,0,8.82418983466194e-20,5.01465406883812e-08,5.01465406883812e-06,exponential,0.01,327,513
Ag_q,0,3.54671796100836e-14,0,5.52413285776501e-23,1.5148231688961e-06,0.00015148231688961,exponential,0.01,901,1025
Ag_0,0,9.83206202750675e-12,0,6.01042815099785e-19,6.11246846016473e-05,0.00611246846016473,exponential,0.01,901,1025
Aw_p,0,6.30303960021939e-09,0,9.28079198957715e-15,0.0014724309390065,0.14724309390065,exponential,0.01,901,1025
Aw_m,0,2.70952058430565e-09,0,9.28079198968406e-15,0.00342525117476131,0.342525117476131,exponential,0.01,901,1025
Aio,0,1.78520744380783e-08,0,3.19430215371212e-22,1.78931697033876e-11,1.78931697033876e-09,exponential,0.01,901,1025
Amda,0,8.75723983801784e-10,0,5.87442074281656e-19,6.70806571866198e-07,6.70806571866198e-05,exponential,0.01,901,1025
Ag_q,0,4.10299075633613e-12,0,7.30047428330436e-23,1.77887200940528e-08,1.77887200940528e-06,exponential,0.1,327,257
Ag_0,0,1.42835406897067e-09,0,1.06664831258295e-18,7.46766917942619e-07,7.46766917942619e-05,exponential,0.1,327,257
Aw_p,0,1.90150791384458e-06,0,2.18897360857119e-12,0.00115117775292043,0.115117775292043,exponential,0.1,327,257
Aw_m,0,1.19366051119144e-06,0,2.1889736086168e-12,0.00183383264023543,0.183383264023543,exponential,0.1,327,257
Aio,0,1.81033046064588e-06,0,5.85479910368764e-21,3.23410516904449e-12,3.23410516904449e-10,exponential,0.1,327,257
Amda,0,1.75972911942238e-07,0,1.25763354813723e-18,7.14674507064639e-09,7.14674507064639e-07,exponential,0.1,327,257
Ag_q,0,3.54672655824905e-12,0,7.57098823352662e-23,2.13403939374156e-08,2.13403939374156e-06,exponential,0.1,901,257
Ag_0,0,9.83208244950423e-10,0,1.10466272361677e-18,1.12352760034561e-06,0.000112352760034561,exponential,0.1,901,257
Aw_p,0,6.30178817975291e-07,0,2.0958767287349e-12,0.00332584445180643,0.332584445180643,exponential,0.1,901,257
Aw_m,0,2.71027451387305e-07,0,2.09587672905766e-12,0.00773307910544281,0.773307910544281,exponential,0.1,901,257
Aio,0,1.78520765313402e-06,0,2.27847618528926e-21,1.27630877002626e-12,1.27630877002626e-10,exponential,0.1,901,257
Amda,0,8.75747377112191e-08,0,5.79237154171801e-19,6.61420362419643e-09,6.61420362419643e-07,exponential,0.1,901,257
Ag_q,0,4.10320443177069e-10,0,7.30088427154325e-21,1.77930848922089e-08,1.77930848922089e-06,exponential,1,327,257
Ag_0,0,1.42843948845001e-07,0,1.06659400755727e-16,7.46684762438047e-07,7.46684762438047e-05,exponential,1,327,257
Aw_p,0,0.000190178765602871,0,4.98540882928032e-12,2.62143295201768e-05,0.00262143295201768,exponential,1,327,257
Aw_m,0,0.000119430400761138,0,4.98540892547239e-12,4.17432152421687e-05,0.00417432152421687,exponential,1,327,257
Aio,0,0.00018103471252003,0,5.31229796399005e-19,2.93440848443524e-12,2.93440848443524e-10,exponential,1,327,257
Amda,0,1.76022913017432e-05,0,1.21200578554316e-16,6.88550010165025e-09,6.88550010165025e-07,exponential,1,327,257
Ag_q,0,3.54682791980568e-10,0,7.57282701998696e-21,2.13509249399303e-08,2.13509249399303e-06,exponential,1,901,257
Ag_0,0,9.83235031311934e-08,0,1.10474751183776e-16,1.12358435716824e-06,0.000112358435716824,exponential,1,901,257
Aw_p,0,6.28856220758725e-05,0,3.12205985078423e-12,4.96466401647067e-05,0.00496466401647067,exponential,1,901,257
Aw_m,0,2.72116250321342e-05,0,3.12205953014358e-12,0.000114732564716073,0.0114732564716073,exponential,1,901,257
Aio,0,0.000178521176239313,0,2.9231691916843e-19,1.63743554308052e-12,1.63743554308052e-10,exponential,1,901,257
Amda,0,8.75983579975909e-06,0,6.31460607993344e-17,7.20858954843222e-09,7.20858954843222e-07,exponential,1,901,257
