family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,count,order,status
Aw_m,2.59527489223856e-12,3.58373680006884e-09,0.000724181221173582,9.26381328187398e-19,0.72418127759515,2.58495844246642e-05,constant,0.01,327,65,0,assessed
Aio,5.64264421883321e-24,6.07380887208266e-09,9.29012475971834e-16,1.01117488620911e-23,2.59382387870536e-12,1.66481155568735e-10,constant,0.01,327,65,0,assessed
Amda,3.23729803862837e-22,1.42889198698381e-09,2.26560024698707e-13,9.07594360919165e-22,8.61732947112542e-10,6.35173080970162e-08,constant,0.01,327,65,0,assessed
Ag_q,9.38637074728773e-27,1.85407120919833e-14,5.06257294796474e-13,3.50890466890758e-26,2.27603872504779e-09,1.79568925246442e-07,constant,0.01,327,65,8,assessed
Ag_0,1.35992729319286e-22,2.59122819141429e-12,5.24819580806817e-11,4.1519570922478e-22,2.12631141181804e-07,1.60169428987752e-05,constant,0.01,327,65,8,assessed
Aw_p,4.62434644622029e-23,7.03471799653587e-09,6.57360600452993e-15,9.26381328634351e-19,1.31693614564422e-07,1.31687040959352e-05,constant,0.01,327,65,8,assessed
Aw_m,3.05283574331435e-23,3.58373680006884e-09,8.51858245632243e-15,9.26381328187398e-19,2.58504362826721e-07,2.58495844246642e-05,constant,0.01,327,65,8,assessed
Aio,5.64264421883321e-24,6.07380887208266e-09,9.29012475971834e-16,1.01117488620911e-23,2.59382387870536e-12,1.66481155568735e-10,constant,0.01,327,65,8,assessed
Amda,3.23729803862837e-22,1.42889198698381e-09,2.26560024698707e-13,9.07594360919165e-22,8.61732947112542e-10,6.35173080970162e-08,constant,0.01,327,65,8,assessed
Ag_q,9.38637074728773e-27,1.85407120919833e-14,5.06257294796474e-13,3.50890466890758e-26,2.27603872504779e-09,1.79568925246442e-07,constant,0.01,327,65,16,assessed
Ag_0,1.35992729319286e-22,2.59122819141429e-12,5.24819580806817e-11,4.1519570922478e-22,2.12631141181804e-07,1.60169428987752e-05,constant,0.01,327,65,16,assessed
Aw_p,4.6243369108058e-23,7.03471799653587e-09,6.57359244973712e-15,9.26381328634351e-19,1.31693614550867e-07,1.31687040959352e-05,constant,0.01,327,65,16,assessed
Aw_m,3.05278286347607e-23,3.58373680006884e-09,8.51843490129473e-15,9.26381328187398e-19,2.58504362679166e-07,2.58495844246642e-05,constant,0.01,327,65,16,assessed
Aio,5.64264421883321e-24,6.07380887208266e-09,9.29012475971834e-16,1.01117488620911e-23,2.59382387870536e-12,1.66481155568735e-10,constant,0.01,327,65,16,assessed
Amda,3.23729803862837e-22,1.42889198698381e-09,2.26560024698707e-13,9.07594360919165e-22,8.61732947112542e-10,6.35173080970162e-08,constant,0.01,327,65,16,assessed
Ag_q,7.35899336986059e-18,1.86025182566931e-14,0.000395591245675184,3.6596171799958e-26,0.37541061357992,1.86691175698625e-07,constant,0.01,901,9,0,rejected
Ag_0,8.68293887494887e-14,2.85649622451805e-12,0.0303971655919618,4.33204711475167e-22,30.3865280512622,1.51602898984839e-05,constant,0.01,901,9,0,rejected
