caseId,split,policy,tolerance,status,largestDenseCount,largestJointCount,largestSampledCount,falseAcceptance,retainedCountLoss,additionalQuadraticLoss,worstMissedError,productEvaluations,candidatePlanEvaluations,densePlanEvaluations,limitingInteraction
withheld-exponential-25,withheld,targeted,0.1,scored,10,6,6,0,4,0,1.091548e-05,84976,180144,776704,"wave mode 6 sign 1 [-1,1] x wave mode 5 sign 1 [2,-1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,linear,0.03,scored,10,6,6,0,4,0,1.091548e-05,0,0,776704,"wave mode 6 sign 1 [-1,-1] x wave mode 5 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,fixed,0.03,scored,10,6,6,0,4,0,1.091548e-05,46322,98504,776704,"wave mode 6 sign 1 [-1,-1] x wave mode 5 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,targeted,0.03,scored,10,6,6,0,4,0,1.091548e-05,84976,180144,776704,"wave mode 6 sign 1 [-1,1] x wave mode 5 sign 1 [2,-1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,linear,0.01,scored,9,6,6,0,3,0,1.091548e-05,0,0,776704,"wave mode 6 sign 1 [-1,-1] x wave mode 5 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,fixed,0.01,scored,9,6,6,0,3,0,1.091548e-05,46322,98504,776704,"wave mode 6 sign 1 [-1,-1] x wave mode 5 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,targeted,0.01,scored,9,6,6,0,3,0,1.091548e-05,84976,180144,776704,"wave mode 6 sign 1 [-1,1] x wave mode 5 sign 1 [2,-1] -> wave [1,0], w*dz(u)"
withheld-exponential-49,withheld,linear,0.1,scored,16,13,13,0,3,0,6.634276e-06,0,0,1352912,"wave mode 13 sign 1 [-1,-1] x wave mode 12 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-49,withheld,fixed,0.1,scored,16,13,13,0,3,0,6.634276e-06,125568,148280,1352912,"wave mode 13 sign 1 [-1,-1] x wave mode 12 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-49,withheld,targeted,0.1,scored,16,13,13,0,3,0,6.634276e-06,226864,267784,1352912,"wave mode 13 sign 1 [-1,1] x wave mode 12 sign 1 [2,-1] -> wave [1,0], w*dz(u)"
withheld-exponential-49,withheld,linear,0.03,scored,16,13,13,0,3,0,6.634276e-06,0,0,1352912,"wave mode 13 sign 1 [-1,-1] x wave mode 12 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-49,withheld,fixed,0.03,scored,16,13,13,0,3,0,6.634276e-06,125568,148280,1352912,"wave mode 13 sign 1 [-1,-1] x wave mode 12 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-49,withheld,targeted,0.03,scored,16,13,13,0,3,0,6.634276e-06,226864,267784,1352912,"wave mode 13 sign 1 [-1,1] x wave mode 12 sign 1 [2,-1] -> wave [1,0], w*dz(u)"
withheld-exponential-49,withheld,linear,0.01,scored,16,13,13,0,3,0,6.634276e-06,0,0,1352912,"wave mode 13 sign 1 [-1,-1] x wave mode 12 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-49,withheld,fixed,0.01,scored,16,13,13,0,3,0,6.634276e-06,125568,148280,1352912,"wave mode 13 sign 1 [-1,-1] x wave mode 12 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-49,withheld,targeted,0.01,scored,16,13,13,0,3,0,6.634276e-06,226864,267784,1352912,"wave mode 13 sign 1 [-1,1] x wave mode 12 sign 1 [2,-1] -> wave [1,0], w*dz(u)"
withheld-pycnocline-33,withheld,linear,0.1,explicit-fixed-family-rejected,13,1,1,NaN,NaN,NaN,0.000252738,0,0,1313600,"wave mode 1 sign 1 [-2,-1] x boundary mode 2 sign 0 [2,1] -> mda [0,0], w*eta*dlogN2"
withheld-pycnocline-33,withheld,fixed,0.1,explicit-fixed-family-rejected,13,1,1,NaN,NaN,NaN,0.000252738,6956,142528,1313600,"wave mode 1 sign 1 [-2,1] x boundary mode 2 sign 0 [2,-1] -> mda [0,0], w*eta*dlogN2"
withheld-pycnocline-33,withheld,targeted,0.1,explicit-fixed-family-rejected,13,1,1,NaN,NaN,NaN,0.000252738,12992,260400,1313600,"wave mode 1 sign 1 [-2,1] x boundary mode 2 sign 0 [2,-1] -> mda [0,0], w*eta*dlogN2"
withheld-pycnocline-33,withheld,linear,0.03,explicit-fixed-family-rejected,13,1,1,NaN,NaN,NaN,0.000252738,0,0,1313600,"wave mode 1 sign 1 [-2,-1] x boundary mode 2 sign 0 [2,1] -> mda [0,0], w*eta*dlogN2"
withheld-pycnocline-33,withheld,fixed,0.03,explicit-fixed-family-rejected,13,1,1,NaN,NaN,NaN,0.000252738,6956,142528,1313600,"wave mode 1 sign 1 [-2,1] x boundary mode 2 sign 0 [2,-1] -> mda [0,0], w*eta*dlogN2"
withheld-pycnocline-33,withheld,targeted,0.03,explicit-fixed-family-rejected,13,1,1,NaN,NaN,NaN,0.000252738,12992,260400,1313600,"wave mode 1 sign 1 [-2,1] x boundary mode 2 sign 0 [2,-1] -> mda [0,0], w*eta*dlogN2"
withheld-pycnocline-33,withheld,linear,0.01,explicit-fixed-family-rejected,10,1,1,NaN,NaN,NaN,0.000252738,0,0,1313600,"wave mode 1 sign 1 [-2,-1] x boundary mode 2 sign 0 [2,1] -> mda [0,0], w*eta*dlogN2"
withheld-pycnocline-33,withheld,fixed,0.01,explicit-fixed-family-rejected,10,1,1,NaN,NaN,NaN,0.000252738,6956,142528,1313600,"wave mode 1 sign 1 [-2,1] x boundary mode 2 sign 0 [2,-1] -> mda [0,0], w*eta*dlogN2"
withheld-pycnocline-33,withheld,targeted,0.01,explicit-fixed-family-rejected,10,1,1,NaN,NaN,NaN,0.000252738,12992,260400,1313600,"wave mode 1 sign 1 [-2,1] x boundary mode 2 sign 0 [2,-1] -> mda [0,0], w*eta*dlogN2"
withheld-pycnocline-65,withheld,linear,0.1,explicit-fixed-family-rejected,16,4,4,NaN,NaN,NaN,1.322033e-06,0,0,8126480,"wave mode 1 sign 1 [-4,0] x wave mode 1 sign 1 [1,0] -> wave [-3,0], w*dz(u)"
withheld-pycnocline-65,withheld,fixed,0.1,explicit-fixed-family-rejected,16,4,4,NaN,NaN,NaN,1.322033e-06,43200,213528,8126480,"wave mode 1 sign 1 [4,0] x wave mode 1 sign 1 [-1,0] -> wave [3,0], w*dz(u)"
withheld-pycnocline-65,withheld,targeted,0.1,explicit-fixed-family-rejected,16,4,4,NaN,NaN,NaN,1.322033e-06,66060,328704,8126480,"wave mode 1 sign 1 [4,0] x wave mode 1 sign 1 [-1,0] -> wave [3,0], w*dz(u)"
withheld-pycnocline-65,withheld,linear,0.03,explicit-fixed-family-rejected,16,4,4,NaN,NaN,NaN,1.322033e-06,0,0,8126480,"wave mode 1 sign 1 [-4,0] x wave mode 1 sign 1 [1,0] -> wave [-3,0], w*dz(u)"
withheld-pycnocline-65,withheld,fixed,0.03,explicit-fixed-family-rejected,16,4,4,NaN,NaN,NaN,1.322033e-06,43200,213528,8126480,"wave mode 1 sign 1 [4,0] x wave mode 1 sign 1 [-1,0] -> wave [3,0], w*dz(u)"
withheld-pycnocline-65,withheld,targeted,0.03,explicit-fixed-family-rejected,16,4,4,NaN,NaN,NaN,1.322033e-06,66060,328704,8126480,"wave mode 1 sign 1 [4,0] x wave mode 1 sign 1 [-1,0] -> wave [3,0], w*dz(u)"
