profile,kh,familyIndex,providerModeNumber,h,referenceH,omega,referenceOmega,hRelativeError,frequencyRelativeError,referenceFrequencyConvergence,interiorNodes
exponential,6.28318530717959e-05,6,6,0.0117259038816697,0.0117259038816716,0.0001022454138226,0.000102245413822601,1.61993670199164e-13,3.57882294700023e-15,5.18001484328775e-13,5
exponential,0.000628318530717959,1,1,887.942587135824,887.942587003775,0.0586418207993514,0.058641820794991,1.48713278946293e-10,7.43563881750045e-11,5.30174670642259e-11,0
exponential,0.000628318530717959,2,2,0.295189941929444,0.295189941929289,0.00107388140853144,0.00107388140853116,5.22785428982751e-13,2.59066108463788e-13,9.69420127895798e-11,1
exponential,0.000628318530717959,3,3,0.0733248976483582,0.0733248976479972,0.000542194675599608,0.000542194675598318,4.92333308090936e-12,2.37798945940767e-12,3.31768722820976e-11,2
exponential,0.000628318530717959,4,4,0.0325398553227373,0.0325398553227301,0.000368810815902853,0.000368810815902815,2.21346155378401e-13,1.02596383262564e-13,7.92138149969353e-12,3
exponential,0.000628318530717959,5,5,0.0182932385419271,0.0182932385419243,0.000284335459694167,0.000284335459694148,1.53053472943563e-13,6.69200674006268e-14,5.22010843708171e-11,4
exponential,0.000628318530717959,6,6,0.0117044677091605,0.0117044677091608,0.000235222120694852,0.000235222120694854,2.66778663869896e-14,1.09470153234164e-14,9.65676552787648e-12,5
exponential,0.00628318530717959,1,1,159.259028680194,159.259028677218,0.248351300522315,0.248351300519995,1.86830245247201e-11,9.34162734048896e-12,1.4081675917327e-14,0
exponential,0.00628318530717959,2,2,0.0767420536881574,0.0767420536881475,0.00545260616704899,0.00545260616704864,1.2984082608086e-13,6.49017329067096e-14,2.7927311113482e-11,1
exponential,0.00628318530717959,3,3,0.0369475919997202,0.0369475919996828,0.00378406983230754,0.00378406983230563,1.01151064369134e-12,5.05416844038295e-13,2.3968792141797e-11,2
exponential,0.00628318530717959,4,4,0.0218128214292842,0.0218128214292852,0.00290821955106175,0.00290821955106182,4.43764555049942e-14,2.22192473248945e-14,5.03853494422014e-11,3
exponential,0.00628318530717959,5,5,0.0142046260644894,0.0142046260644935,0.0023475975222631,0.00234759752226345,2.91753852955534e-13,1.4538558703596e-13,1.49460817086803e-11,4
exponential,0.00628318530717959,6,6,0.00986372382021491,0.00986372382021844,0.00195705270280192,0.00195705270280227,3.58245200795423e-13,1.78608772215902e-13,1.37191924167326e-11,5
